OP,A1,A2,A3,A4,A5,A6,A7
+,9478,7202,2237,9797,2073,12861,4699
-,10199,4441,8363,1740,2916,1057,10866
+,10982,311,1683,9975,241,0,1035
+,4386,2274,8988,8604,6765,6203,9895
-,4386,2274,8988,8604,6765,6203,9895
+,1780,2224,9980,5400,7027,6729,585
+,8703,9657,5516,12952,5975,2642,4836
-,3626,1198,872,11438,1664,5310,1071
+,3609,2236,5271,10538,11550,9696,10263
+,5135,3384,4377,7807,7078,11881,12614
-,9726,2681,3175,5337,3446,4937,6331
+,12659,5939,2369,12190,3916,7645,7766
+,4653,4898,12167,152,4078,4869,5327
-,11374,11276,4964,2745,6654,6216,6216
+,4077,12083,8975,6272,3951,5399,12741
+,7495,3083,2101,9400,12450,4833,945
-,8953,1702,10043,2359,2324,1739,1373
+,3705,11805,326,7423,1770,2746,9248
+,2217,10464,8543,12946,6343,8383,1409
-,6435,11420,4219,3844,8774,2440,12118
+,6503,5467,2631,10826,7812,375,2315
+,7660,43,4084,9439,1293,4003,8955
-,838,12799,10686,7364,9547,7694,9700
+,5241,8111,11819,1087,9976,11826,5914
+,897,2908,7604,12182,10378,3335,8841
-,12415,3676,1535,1190,4446,11327,8409
+,9937,8587,4408,8962,7723,8019,11814
+,9716,10741,7298,7530,1375,6486,2665
-,305,3457,7183,10684,3711,11884,10512
+,9289,3820,5038,1074,10679,540,11923
+,1300,9382,9717,8452,5804,10671,12980
-,8470,11579,11947,10939,5925,12312,2263
+,9323,5548,1202,7797,10033,3110,6399
+,6202,8842,12365,7348,5065,1266,11122
-,897,2908,7604,12182,10378,3335,8841
+,11653,11331,9563,8600,11226,63,12685
+,11401,6238,43,6089,1051,11313,2921
-,7103,2587,7266,6757,2558,9641,11239
+,9884,5794,6530,5017,4849,10275,11135
+,7170,6636,7332,6653,6776,7143,180
-,11398,12220,12687,4539,2874,5244,11744
+,10345,400,5834,6604,12043,11010,12882
+,4824,3553,7090,1366,8783,6487,10271
-,7563,6645,10962,3679,5533,1797,5144
+,4454,4268,11711,12788,2831,12916,6501
+,2392,9747,2696,7409,8405,12901,1645
-,3002,4370,8526,12841,12279,8995,1136
+,12713,2008,1319,9005,2083,240,10402
+,9085,6097,2262,10655,9626,11320,4742
-,9777,9610,6995,4295,12100,6235,12165
+,363,12217,9763,10892,6980,6901,5692
+,6673,4620,3586,2459,9964,9863,150
-,1780,2224,9980,5400,7027,6729,585
+,4371,3190,12460,8348,3716,6745,2460
+,4576,6834,285,7280,3220,2666,8373
-,8894,3050,12699,12548,10678,12831,1182
+,12276,317,12420,12766,7460,9730,9081
+,12013,1932,6704,3360,692,1831,12104
-,2096,11539,7321,12881,7496,4449,1120
+,4446,410,11339,8465,9597,12981,113
+,636,3942,3578,4923,5498,3879,7024
-,4824,3553,7090,1366,8783,6487,10271
+,3690,12070,8219,12016,3259,23,12673
+,3647,9905,12198,865,2060,8877,7044
-,5821,9601,10635,4513,8555,5361,1262
+,4920,1113,3074,4127,8561,11657,10367
+,10964,12344,1224,5781,2301,10069,4512
-,6202,8842,12365,7348,5065,1266,11122
+,12097,6456,6610,7816,4078,7772,9288
+,8900,7365,11535,3854,2402,10383,346
-,9863,3008,11399,7296,3402,10970,1856
+,8798,1375,4212,3373,2231,2964,7859
+,8956,40,11750,2596,8555,2859,5559
-,12276,317,12420,12766,7460,9730,9081
+,9027,5723,7088,2614,9587,4355,10878
+,11706,1317,5427,3299,9731,5752,213
-,8428,8434,12420,11287,7029,9852,11187
+,3587,1480,4128,3171,320,4365,3177
+,10190,8765,4234,3547,521,9049,3075
-,8129,6167,9583,9216,11732,11104,91
+,1568,12478,10410,547,8897,8521,6800
+,12443,5345,11548,12079,1188,12650,4212
-,12892,7725,4053,11512,5428,10468,8531
+,12844,5395,11996,6376,253,7446,7330
+,8574,9048,5280,9096,7612,10640,9896
-,2209,1065,9909,1733,11774,12532,2049
+,6009,10681,5986,5454,12414,9429,5491
+,123,2875,3733,10587,9492,12003,3
-,10912,5397,10878,1646,5273,11686,12047
+,5206,7664,1667,825,3496,8569,9699
+,12884,8543,10036,4287,9688,5379,385
-,12004,6083,10519,699,9504,1016,8150
+,7339,7746,2245,4419,10008,6191,109
+,5674,7009,1498,10986,12263,12442,12280
-,3453,7295,6413,4467,8707,5329,8098
+,6490,111,9626,9139,6500,12496,2500
+,10048,1722,6448,9985,2522,2144,2809
-,5302,12729,5570,2688,11148,12284,10910
+,7661,6857,5830,3612,2957,7070,292
+,2915,4122,11513,9042,600,582,11937
-,9174,7801,11224,3088,1301,1186,8931
+,10734,11868,4790,4743,10863,5863,12537
+,9353,9393,667,10579,5044,4043,7460
-,5959,6038,12445,2396,5367,8363,3861
+,11765,5473,3527,1080,1789,9977,249
+,12176,5647,11945,12861,3670,550,12560
-,9781,4622,8061,8780,2225,873,2176
+,3193,8188,7906,4128,7611,366,276
+,2266,325,5780,4400,7299,7819,955
-,10729,1672,7514,5581,11794,12073,10032
+,4594,3691,11650,6578,11397,711,4414
+,8792,6759,3582,154,1216,8604,1743
-,4235,7176,7757,4661,4732,10834,2041
+,6203,12225,10452,10365,10182,3271,4045
+,10693,9982,10413,11645,2779,3926,12941
-,12176,5647,11945,12861,3670,550,12560
+,6919,2549,1787,11566,2038,11981,12951
+,11452,3313,8809,8017,6637,3433,7597
-,7613,7094,10160,12990,8700,9961,821
+,12708,10522,1091,486,1719,225,6554
+,7594,5414,2148,7311,4067,11256,1655
-,5537,11441,7119,8327,1422,12659,11800
+,8555,10137,2988,486,8817,1481,11358
+,10586,12254,8246,12542,4103,190,2559
-,11767,10539,4619,3289,2730,12663,283
+,5401,3029,9398,12256,9389,7632,7059
+,9796,1217,6603,6793,4629,6707,11814
-,574,7670,9951,1304,8926,2957,3232
+,9320,7916,7511,4880,270,1301,8565
+,6785,2613,489,7937,5880,9521,8077
-,9478,7202,2237,9797,2073,12861,4699
+,12167,11196,4160,1269,7687,458,3335
+,8569,1781,3845,6181,10035,5267,573
-,12884,8543,10036,4287,9688,5379,385
+,4992,3733,5287,4132,3368,10099,6814
+,6606,8841,10208,7757,1116,11808,12129
-,1927,2049,11918,2446,1239,6657,1626
+,6466,5306,12376,9820,8419,8984,8404
+,6656,9727,7785,12980,11709,875,10048
-,2213,4777,9475,1763,5760,6259,10844
+,863,12944,9964,9441,9839,1902,932
+,11409,1298,11604,8767,746,7501,1161
-,1794,8804,6464,958,242,11410,4774
+,6572,3537,12679,2167,2176,4044,5905
+,591,6688,4075,8269,4174,3581,4627
-,7170,6636,7332,6653,6776,7143,180
+,5757,3900,4465,5080,3077,8808,4061
+,3876,209,3754,9328,2745,36,11066
-,4930,3173,9897,7753,3544,2662,3226
+,9384,4563,5182,10598,6946,1935,12071
+,5147,7545,6019,4867,2390,250,10890
-,4873,3225,10633,5338,878,5443,7996
+,5502,6899,3747,3428,5763,7522,10543
+,9942,1546,2915,6134,6957,5239,1495
-,2392,9747,2696,7409,8405,12901,1645
+,5545,11066,1812,12232,11150,8082,7727
+,4822,10029,1453,2118,633,7655,5438
-,5401,3029,9398,12256,9389,7632,7059
+,4680,3516,10626,6734,7746,8140,4242
+,12601,2978,8067,8791,6661,2145,3106
-,6503,5467,2631,10826,7812,375,2315
+,8043,3295,7833,10249,6820,6825,8592
+,3261,1506,8270,6970,4992,1560,12415
-,3542,953,8453,668,4343,8156,10351
+,2580,2966,1767,12743,9292,7514,10412
+,5573,7089,2327,10733,10470,3604,6995
-,9633,1484,7467,5316,1019,7818,6541
+,10157,11542,811,4130,8795,8137,2039
+,1029,7143,12527,3902,11,2208,9690
-,3193,8188,7906,4128,7611,366,276
+,2918,3318,5067,4789,12875,4853,1230
+,3573,4456,8522,7807,630,11538,11125
-,5674,7009,1498,10986,12263,12442,12280
+,9507,4605,11526,4754,1262,8333,1095
+,3285,7527,10092,7047,4345,2205,3222
-,1568,12478,10410,547,8897,8521,6800
+,374,5268,10801,4593,3093,5983,405
+,11028,3032,123,10273,8484,590,7174
-,12443,5345,11548,12079,1188,12650,4212
+,2414,10011,7135,4869,5157,10005,10956
+,10246,7102,9706,4053,4752,9583,10944
-,12233,1714,1655,4023,9613,7314,1644
+,2027,112,7103,5327,7774,5043,6734
+,5276,9653,12640,4594,11371,9074,2103
-,863,12944,9964,9441,9839,1902,932
+,8669,9570,277,1574,5762,2846,356
+,7343,9284,3054,11246,5573,8357,1766
-,8849,1252,12427,2300,8683,3026,1101
+,10134,4566,7334,3756,6,9789,3261
+,2150,5043,12466,11363,10711,12876,2246
-,11765,5473,3527,1080,1789,9977,249
+,9689,3993,10441,9739,11024,11740,1850
+,1997,5762,12365,12204,6480,4470,5884
-,5664,6566,11773,8890,8342,6065,9578
+,244,6120,7711,2882,9878,7481,1155
+,12951,1656,6404,10286,11267,2958,8356
-,3993,2568,7996,11414,5457,6495,1810
+,2878,5911,10394,7158,2986,3956,1557
+,5882,10872,8389,1543,3470,9738,5862
-,4680,3516,10626,6734,7746,8140,4242
+,487,9988,12568,5475,11868,7919,12973
+,10341,133,10303,8885,10881,12892,3888
-,12777,2501,1036,578,9238,12569,115
+,8058,836,10688,8212,12868,1341,3307
+,3670,74,8484,9328,9613,8811,3773
-,12844,5395,11996,6376,253,7446,7330
+,5851,6221,2689,5633,12947,5425,8467
+,2468,6050,843,9310,2629,8521,10844
-,1946,9281,9719,9365,9422,6287,3086
+,8444,10250,8519,4470,8445,12426,12321
+,12926,7826,12598,8519,11060,11905,2348
-,9353,9393,667,10579,5044,4043,7460
+,11241,11338,7780,5986,4628,1056,5187
+,1242,7408,1247,2812,2608,4703,11399
-,11157,12458,2178,3790,3531,2491,7540
+,3102,12327,9766,6792,8188,4241,1217
+,3443,3520,6252,6112,4855,1866,6228
-,8555,10137,2988,486,8817,1481,11358
+,840,6439,3148,7361,6739,6723,2720
+,10961,1400,10742,7086,2820,8212,10959
-,12951,1656,6404,10286,11267,2958,8356
+,4830,610,772,7504,6704,6311,6578
+,3317,11285,6324,4651,8323,9263,1415
-,244,6120,7711,2882,9878,7481,1155
+,7315,5895,7841,5015,4658,11863,730
+,1663,9348,3565,620,1357,4064,7490
-,12601,2978,8067,8791,6661,2145,3106
+,9912,12863,8516,6206,4084,7049,6772
+,8640,8623,977,12879,9424,11579,5494
-,2958,4163,4887,3892,11053,12793,9446
+,3907,6970,9467,5465,5158,2410,4607
+,8306,11228,11315,10792,10147,5980,10421
-,6129,9869,798,4325,6024,10389,8611
+,5184,8314,4999,9587,4435,2256,5043
+,12337,7089,8301,2424,1495,4087,5125
-,8058,836,10688,8212,12868,1341,3307
+,9318,6509,9460,336,5801,2380,9116
+,5183,1502,4766,12149,8495,10014,9427
-,4485,12880,4236,1084,11270,4300,5015
+,2319,3524,6917,7314,1553,1727,4586
+,11781,4129,1937,3774,7951,12786,3481
-,6572,3537,12679,2167,2176,4044,5905
+,10805,4514,2529,8330,6163,12008,3593
+,10418,2415,1563,5649,5211,11970,6303
-,4594,3691,11650,6578,11397,711,4414
+,2098,6962,8147,776,9172,5591,8372
+,4729,346,1894,1494,9063,3664,6993
-,3670,74,8484,9328,9613,8811,3773
+,6052,12673,186,9137,2836,2290,1836
+,2491,12840,11666,8551,9686,2325,8219
-,10341,133,10303,8885,10881,12892,3888
+,3730,1954,7166,9075,12063,6286,2602
+,1818,9655,9341,2792,10224,3521,12121
-,11540,1108,407,9970,5605,602,12962
+,5376,2178,4794,7577,3873,11487,4373
+,5973,6552,9545,8898,10452,6179,6217
-,5502,6899,3747,3428,5763,7522,10543
+,8411,9033,12769,4101,8065,5091,10317
+,8085,11985,9284,2113,11605,9213,6738
-,8798,1375,4212,3373,2231,2964,7859
+,451,1905,1835,8189,5200,12804,6041
+,11408,11760,5472,1497,5864,6748,7894
-,741,9841,1429,2113,2617,8460,10314
+,11800,6726,3814,1459,2330,10252,12334
+,7390,5543,7048,73,482,6154,12652
-,6052,12673,186,9137,2836,2290,1836
+,193,3025,604,10215,986,10899,10220
+,12178,12695,10098,7472,10592,10502,12948
-,11653,11331,9563,8600,11226,63,12685
+,6698,9466,12222,3717,5996,10748,3244
+,6506,12050,2625,328,12141,7015,8309
-,1029,7143,12527,3902,11,2208,9690
+,9926,1479,7547,3193,7206,10097,11567
+,2615,4405,5215,6156,8471,7137,1015
-,7661,6857,5830,3612,2957,7070,292
+,2727,1898,1597,10870,10482,7707,12144
+,3785,6369,7859,598,9840,12485,5313
-,11800,6726,3814,1459,2330,10252,12334
+,1581,2483,8490,10498,5150,10780,12875
+,6607,1142,11886,8039,7204,11438,6244
-,5376,2178,4794,7577,3873,11487,4373
+,2945,8117,9252,1788,8121,2579,2540
+,2310,1803,12134,11097,9040,2808,7207
-,8905,7839,5664,1397,2588,9911,1358
+,2501,6362,1379,2766,1088,5778,6063
+,7333,8177,2776,2182,6966,9147,4363
-,9926,1479,7547,3193,7206,10097,11567
+,5913,11685,3666,12595,1101,9822,440
+,12281,4343,973,4304,3557,10763,1766
-,6606,8841,10208,7757,1116,11808,12129
+,4519,1232,2015,10483,4783,10097,11149
+,2447,7042,3731,4115,7581,12396,9736
-,8000,6896,11355,1580,1171,6506,5297
+,7818,11539,6824,4773,11241,1614,1408
+,6329,8120,10294,9990,9404,312,12436
-,12013,1932,6704,3360,692,1831,12104
+,6981,1421,12565,6781,2360,3209,11864
+,11626,2136,6759,2020,12607,10791,4690
-,9937,8587,4408,8962,7723,8019,11814
+,1382,3657,1307,1357,5507,3921,10609
+,3379,1832,10912,5908,2103,4119,2544
