OP,A1,A2,A3,A4,A5,A6,A7
+,3355,4969,9,12274,3539,420,9330
+,9980,11172,4677,5815,8996,9215,9223
-,3355,4969,9,12274,3539,420,9330
+,6143,6123,12505,7279,3109,12146,8915
+,7192,4484,8420,7368,2075,12345,6567
+,3856,4265,12396,11951,11923,5080,6603
+,544,7629,6752,9825,12017,4833,12058
+,8311,10650,12690,4136,4807,8611,12571
+,9617,9279,11002,4440,359,10621,8910
+,2455,8524,4549,4448,10993,5245,10226
+,42,11049,9295,9726,12675,2859,10256
+,4000,2458,12537,1621,7250,8278,10418
+,10843,2026,7605,438,4311,8832,5883
+,12086,6381,6040,11178,12291,3553,4269
+,3806,2569,6206,7677,1047,817,1652
+,1416,9475,1546,2759,11598,6448,1324
-,3806,2569,6206,7677,1047,817,1652
+,6248,8946,5837,4106,10275,5040,5093
+,11192,10757,10522,11628,5899,3322,5849
+,2585,905,5171,1468,356,7901,9012
+,6962,5549,9865,2563,2941,7488,10921
+,8641,239,1194,9029,4615,5004,9746
+,11046,12401,5645,7300,9741,6623,8609
+,135,2339,4233,8251,9167,9128,5584
+,12408,5000,10720,4871,9740,2064,6270
+,12463,11655,6490,1775,776,3952,7109
+,3601,10075,10492,2095,1483,7942,7076
+,1128,4650,12469,12189,3157,11156,3417
+,8512,10231,8124,9615,2606,10613,5957
+,5310,6917,5234,6196,4849,10958,9351
-,8512,10231,8124,9615,2606,10613,5957
+,5514,12355,1944,2738,3297,10528,10579
+,7431,52,8382,2838,5851,9032,1215
+,8577,11283,1675,3676,6458,621,10664
+,10756,11180,12158,5179,3307,6006,5244
+,5687,8679,5362,602,7795,12001,10310
+,11784,8463,10048,9630,1681,6673,5518
+,10554,11745,8348,2223,10398,844,4660
+,9489,6339,9045,4482,5313,12971,3519
+,6474,2619,1035,6028,11966,4804,1277
+,7006,5399,11346,12008,3688,5842,2279
+,1799,12065,10045,1549,3052,1032,4777
+,2876,5929,10720,10291,1746,8748,5972
+,2918,6975,12374,931,3922,9459,9598
-,6982,5168,3036,12557,6423,1053,9967
+,7858,8681,11057,12604,10755,8613,9262
+,10156,8103,3316,8709,2783,10020,12129
+,2357,3026,11754,762,10822,4820,1149
+,11081,6828,515,12866,12981,5511,12663
+,648,6573,1501,7787,11721,466,9590
+,7285,11591,5818,8285,11465,6851,5846
+,990,7708,9722,11290,5520,10019,2152
+,4951,3996,4722,4856,12302,10884,11409
+,2685,12903,6303,2804,3446,10555,3616
+,12561,2492,1339,7005,10222,12120,11483
+,5657,4461,4454,3353,1297,4820,7814
+,4977,1928,2240,3843,11453,9737,640
+,1867,11403,9976,4577,6766,6939,1072
-,1233,11190,11199,5455,26,2446,4321
+,2985,1303,10182,5284,8640,9790,12472
+,9354,11912,10620,8755,1929,2642,10509
+,4485,4875,12477,3425,3878,3842,3588
+,7814,845,4173,7913,5621,1649,3064
+,8856,7796,8229,2153,4157,6154,6208
+,12593,4182,9729,2017,12390,9878,1627
+,9521,6663,12389,7110,5860,2950,8237
+,4827,2518,246,805,494,591,8825
+,5372,9862,3687,10179,3831,5879,8831
+,12099,6982,8100,2209,4969,1530,872
+,1503,11606,12136,1827,9698,4547,4832
+,1439,1998,5731,4715,6261,5341,9507
+,11024,6922,5125,8888,4263,6944,4009
-,3804,7083,12843,5036,4796,2569,7898
+,4576,8767,4775,1655,10375,1448,9218
+,9314,7846,491,9223,885,5025,2789
+,8964,5549,12401,1494,7415,10013,7486
+,6588,138,3401,5975,8997,12696,7382
+,2768,3776,8381,9794,2104,7179,226
+,10664,12440,8853,8641,729,1996,6534
+,3346,1880,3867,563,6614,6726,11586
+,4632,6183,1291,10617,1648,1003,197
+,6341,1371,12803,1555,3704,12802,1848
+,2809,630,9549,9455,6639,3376,11163
+,12381,5304,5179,10781,11164,12029,6750
+,6713,5536,11185,7843,11940,9482,4504
+,10658,10454,1637,3569,3118,11130,2483
-,6041,7797,3130,12004,3439,5928,4056
+,9973,10572,3143,12717,3773,7435,5431
+,10738,10880,3771,3349,3329,9103,12998
+,665,4380,8879,4198,4269,7120,10978
+,9916,1089,11853,6182,4771,10621,11807
+,4863,5826,3312,4034,10310,6960,12640
+,5287,2591,4445,2618,1238,9975,2881
+,7667,4621,4671,6668,613,9836,12800
+,8611,8188,7623,6604,9702,2301,3335
+,9817,9942,1762,2652,9917,6058,3515
+,2715,5666,9876,6882,6445,12488,7319
+,4065,6679,2033,9681,2769,11155,7544
+,4575,2137,2504,12293,6319,11071,6346
+,2979,926,873,2853,1665,6748,1491
-,12593,4182,9729,2017,12390,9878,1627
+,1204,5427,12850,8125,8439,5576,11930
+,567,2445,3983,7554,7926,7027,11095
+,10912,11413,10552,2578,4096,10686,8601
+,6544,11684,1088,2452,3670,9215,3130
+,178,6336,1217,865,5404,9491,4572
+,7027,1402,10500,1236,757,11896,3951
+,78,8724,3941,1317,11307,10963,347
+,5034,4342,12499,2434,6180,3784,2197
+,10954,8281,10517,10938,4953,2553,9134
+,11142,8592,690,4437,4813,5530,11877
+,6448,10076,1068,9134,7775,6995,8835
+,7110,6145,6518,2773,10149,75,10544
+,1768,1710,1118,9522,11365,12729,7531
-,4776,4784,3427,8951,6228,11531,1601
+,5203,6062,6631,3434,12568,2022,11956
+,12084,6487,3631,9824,6921,3316,4569
+,9736,10975,8162,9982,9667,4888,1542
+,1331,9473,10846,634,7214,7338,9821
+,10623,776,8868,3178,9871,3819,12169
+,11316,11503,12916,7838,1471,12570,10843
+,8234,8267,12046,2076,2835,270,5880
+,1457,11217,9230,2309,1403,9259,186
+,2438,8498,12497,6405,4257,8651,11974
+,7902,9420,11203,6825,7173,9295,7755
+,12230,12846,5432,10493,3500,8537,3204
+,10002,7784,8042,5478,7530,4262,10824
+,3909,6887,7733,8880,6745,626,11150
-,4485,4875,12477,3425,3878,3842,3588
+,951,4097,12036,6939,11678,1524,707
+,10148,10092,10440,6801,9527,5036,230
+,7073,3242,12206,4692,11259,9424,4420
+,3139,10422,3510,3792,1587,1810,3992
+,1906,3024,5991,10100,6124,10307,4434
+,10337,12768,6932,329,7316,1265,2139
+,6062,10576,2452,12912,10853,1138,132
+,2869,3873,11851,9037,10805,4785,137
+,6370,9403,956,12130,9881,5466,12844
+,5673,4102,5819,10265,3248,4484,7604
+,2632,4791,3479,1757,7620,8078,7424
+,758,12240,3620,9904,1461,6263,11384
+,3143,12023,9983,11302,611,3538,10531
-,12966,5844,11966,7885,1259,1677,6763
+,1260,11515,1611,3323,8591,5128,8970
+,2028,6090,6670,6391,2816,975,7646
+,11204,999,6824,5829,5345,8464,2227
+,3896,11531,2990,2508,11541,10671,2037
+,10855,4354,4845,10608,9302,1515,6025
+,4626,350,2411,5344,10130,6643,1124
+,3350,660,2028,7153,9492,10938,10745
+,12119,6639,1367,9814,5763,11046,6108
+,4386,5638,9502,3476,11812,12562,2761
+,9280,2218,3796,10970,7314,4922,5893
+,9571,7494,8550,7036,3693,2065,12321
+,831,12734,6989,12209,2648,9422,9477
+,12766,4483,11288,11215,6467,10369,9078
-,7110,6145,6518,2773,10149,75,10544
+,7422,12713,939,10747,1870,2857,5274
+,11162,3720,5913,11736,9851,1267,11315
+,10929,10928,12471,7165,7365,6037,11322
+,2862,6898,6785,1249,11255,984,11882
+,11701,4812,8225,1856,5959,5640,461
+,9179,12035,12950,827,2122,8231,12627
+,3370,1306,10889,11609,10719,406,12196
+,10219,7547,2771,3125,7032,12175,2864
+,1117,5162,2875,2100,5438,12624,11965
+,5283,9015,4259,12517,7332,6157,5461
+,1035,2038,3067,1407,7815,11470,274
+,12833,1198,12775,4225,1283,2404,11024
+,7647,867,8578,12383,10998,719,3560
-,5514,12355,1944,2738,3297,10528,10579
+,447,8760,1315,9134,11359,8367,1544
+,2400,9237,9034,3344,10370,11201,775
+,10529,1347,7494,2215,6250,6384,2254
+,1788,9196,3713,9976,8361,3681,2663
+,3807,7090,8481,7709,1304,3338,12276
+,11175,380,3726,5082,1037,140,3345
+,1006,4487,2264,12791,2253,7869,4238
+,12052,12170,9239,9297,12980,12622,2090
+,941,11176,9497,1000,4840,2531,12441
+,12168,5347,4024,8482,2399,5002,5943
+,6261,8160,10004,2633,11723,6793,11378
+,2499,7184,6567,4033,3105,12059,1324
+,2016,7566,7602,2818,3497,10910,8132
-,9571,7494,8550,7036,3693,2065,12321
+,6093,1042,2423,10103,11819,4238,7564
+,12128,7316,10993,781,255,8917,7774
+,4525,10845,7544,736,3292,4329,10958
+,6664,7337,3970,2600,5978,12323,1561
+,8972,7242,7530,11169,11690,2768,8447
+,675,6627,4365,399,3871,1744,10753
+,2997,12106,10975,4244,11992,1681,5357
+,3661,12872,3022,6008,12267,4134,7105
+,11554,9465,12048,2459,135,8029,475
+,7469,1113,4405,5675,2682,12711,5279
+,2374,8684,10861,119,2760,10403,10478
+,8474,6134,7396,4489,851,8346,5835
+,7621,3845,4083,5467,6240,2749,2120
-,3896,11531,2990,2508,11541,10671,2037
+,2106,9440,5165,9761,6050,7117,3260
+,842,9919,10027,381,10760,1484,2404
+,10685,9177,12969,5514,4033,318,11333
+,12965,11362,11982,6936,844,3277,6329
+,10113,5475,1708,10831,7092,2655,7431
+,2993,2477,3928,3057,9907,7565,2596
+,169,8028,7758,102,9627,2277,4614
+,342,4632,12892,3584,12228,9742,12605
+,89,2686,12300,6431,5090,6037,10135
+,2529,10869,5595,4098,5844,53,3875
+,30,10745,6426,1554,4423,9146,1101
+,10051,12993,1033,1083,7635,9855,5777
+,8877,2647,9340,420,3864,9462,11749
-,1204,5427,12850,8125,8439,5576,11930
+,1509,1851,3237,8543,9778,8629,12535
+,845,6434,435,4627,11164,7043,6648
+,10622,6612,6863,3682,1526,9380,9298
+,8684,6826,11327,4664,1118,12724,6726
+,11790,12258,1199,2063,3768,6937,8404
+,6439,544,229,8342,12888,12986,8794
+,10690,2273,3856,9339,3366,2190,8160
+,6580,4372,9120,4542,4471,8364,9988
+,5606,12322,9791,7941,3729,2425,4318
+,3891,4381,8032,11157,2362,2598,3562
+,5394,9079,1651,11889,5317,5135,7710
+,5371,10212,11075,10102,9027,12514,4468
+,624,8497,5463,3918,9606,1951,378
-,12561,2492,1339,7005,10222,12120,11483
+,11830,7502,1941,10660,3931,1816,11513
+,12233,8882,9210,7004,6382,10156,10265
+,388,8244,10772,1135,429,5919,12632
+,44,12427,3135,2549,8700,3911,4277
+,5761,10478,5150,5601,148,8399,12784
+,12459,2074,11483,8979,8392,9705,7607
+,6966,11925,3889,3986,8439,1789,5966
+,3227,3015,4512,12737,11021,4511,7346
+,7795,6307,12763,9246,10526,3764,3393
+,6457,1765,192,5852,4029,2973,7865
+,6223,8783,3071,201,7281,2981,12349
+,11038,9672,7631,2881,1138,4837,8429
+,10265,6497,8105,3250,2587,2156,2177
-,1128,4650,12469,12189,3157,11156,3417
+,3288,11522,1412,6238,104,10012,2921
+,8359,766,12173,319,9223,12431,8854
+,6478,12587,1311,11223,381,10679,12223
+,5708,9872,8517,7732,8260,8156,11072
+,11094,5230,9681,1584,11849,7447,10652
+,8938,12710,9752,1185,5164,6677,9279
+,4542,11287,9262,5705,6901,10191,2086
+,2312,5192,808,7298,7484,191,5059
+,5595,9912,8458,7089,2021,12151,6739
+,8467,11568,8445,3667,1376,9098,12291
+,4046,3381,5141,9508,5626,7476,10344
+,9131,10607,4809,738,3388,579,9582
+,1828,12141,2512,6019,4395,2628,10537
-,42,11049,9295,9726,12675,2859,10256
+,11994,2789,11078,5374,15,11568,5617
+,3177,8429,5528,5727,8151,6779,7448
+,7174,10368,12351,4385,2860,12041,10593
+,5671,4792,3525,5916,1362,4325,7284
+,7069,6656,10072,3455,7052,5681,10162
+,4669,3352,2782,4281,10866,12659,2350
+,3190,1365,10801,234,7305,2970,1411
+,9247,3762,11074,3487,5725,7546,903
+,1107,10658,5318,3664,3580,7817,4433
+,12404,4583,10352,147,11201,8030,7966
+,6596,9756,11025,3705,12924,101,4892
+,165,7571,423,8871,2260,10204,6795
+,2297,7641,5557,12039,843,1524,4915
-,2312,5192,808,7298,7484,191,5059
+,5013,9891,2255,9266,3335,8172,1161
+,168,5748,12669,10722,8016,7956,12676
+,10992,10610,11400,2597,3862,3599,7497
+,1252,2415,3679,2142,6050,4334,5549
+,5129,7752,11918,3787,1573,1259,8426
+,6404,10301,9910,67,8516,1456,5328
+,11471,4064,12317,10251,8213,1046,3309
+,6778,788,8192,1390,6206,6062,6905
+,578,11619,10565,5800,9348,4521,5061
+,5991,1864,12079,3747,74,3557,9835
+,7214,4161,5787,5294,2918,2877,5393
+,8823,3166,6424,8542,989,2062,2981
+,11882,9645,10329,2722,7983,6198,6834
-,3350,660,2028,7153,9492,10938,10745
+,9989,12563,12019,4762,9696,6691,6597
+,7535,2176,7468,7750,1216,11317,5614
+,11182,11355,12671,10065,4213,12053,8417
+,3473,7916,7051,3211,12765,9567,5170
+,6349,6862,941,8577,12503,11506,11848
+,11911,3634,6740,8960,2320,8141,11606
+,2998,5217,3868,213,7462,11682,4131
+,9003,10652,3251,12854,1522,1269,10692
+,6712,2958,5173,9211,5601,12068,9769
+,6218,6830,11224,4465,8437,3959,8522
+,4274,1302,4806,2928,5240,4655,4563
+,2947,167,3341,2464,12896,8600,6553
+,3013,6186,6598,270,8762,3141,6962
-,9314,7846,491,9223,885,5025,2789
+,12831,9158,3962,7093,2068,6810,7576
+,1211,5722,7423,1265,4625,12384,6526
+,2069,4892,945,12373,10836,792,382
+,5555,403,7357,4330,6665,12525,5268
+,12692,4056,5920,3568,5610,3337,3922
+,11266,787,10305,9324,7038,6812,9260
+,1631,7373,3543,11630,8677,10039,8860
+,9353,5137,10217,3064,12861,6616,6888
+,10401,8289,12119,7500,1881,4386,9252
+,11495,4981,4346,11003,3296,2879,4098
+,12508,6781,2822,4814,11292,8010,2813
+,5889,6794,12745,9516,12437,7873,10362
+,3658,10091,5597,5675,5674,3802,6383
-,951,4097,12036,6939,11678,1524,707
+,12447,6638,10283,7506,4118,6158,6889
+,12779,12237,12056,10432,3558,8052,246
+,3550,3031,5961,4585,6608,8402,6454
+,12938,1126,2457,202,4253,12716,10510
+,5907,1264,4311,12052,8891,11371,11193
+,1731,9986,7480,11808,7047,1309,823
+,8643,3752,2059,12728,9428,1954,5375
+,2905,6325,2454,6677,1969,12884,8909
+,3626,6614,2417,7661,5085,6201,589
+,10372,3799,3802,1,947,5319,7155
+,2034,9944,4415,3555,510,12312,5814
+,2368,2519,9371,2205,8648,10327,2120
+,9275,10599,50,3879,11268,9923,3063
-,11081,6828,515,12866,12981,5511,12663
+,2304,4119,699,1591,6922,4524,890
+,662,3094,1896,5614,10643,6495,2953
+,6529,1826,9655,2345,10894,12689,7987
+,6873,5041,8148,11147,7104,2857,4129
+,2375,5633,5417,6628,6273,4727,5354
+,12265,597,1897,2239,6365,3632,4791
+,4478,8884,9377,11754,9934,5248,559
+,7324,8886,4137,7170,4060,4720,2739
+,8840,2930,1291,12579,11271,2069,2383
+,4527,11284,12721,7577,7036,1407,11833
+,10196,3230,6606,11868,3172,7578,8786
+,6663,6573,5610,296,8388,6792,9840
+,9653,9327,8191,1017,6716,8367,626
-,11024,6922,5125,8888,4263,6944,4009
+,7609,5170,9084,9685,12042,293,4507
+,9807,5118,759,7816,5177,1737,12787
+,6881,4115,12562,1701,11167,7426,1582
+,10394,5662,10722,7882,9104,7201,8983
+,7384,3579,8329,10525,365,1329,556
+,12088,9995,7075,9966,11658,10171,8746
+,6701,10138,4592,8284,12976,4122,9302
+,11424,12666,5202,6007,8207,8737,10453
+,8110,9778,8759,4300,2377,5205,12737
+,4942,11268,1629,9729,2242,2627,10498
+,12706,3445,4262,9001,11466,12557,7516
+,10893,5576,4398,9562,4937,10525,696
+,10020,8367,7977,3314,1021,7782,9671
-,10664,12440,8853,8641,729,1996,6534
+,3591,11471,3246,8390,345,8033,11821
+,589,11732,9996,1888,2440,4707,9212
+,10199,10743,6636,10829,1987,10771,4759
+,3739,1987,4586,10453,3061,5401,10840
+,9169,10719,253,3601,4971,4939,11378
+,11453,9276,11445,1632,75,10897,5970
+,12145,3642,11621,12416,11779,6372,11964
+,1374,8258,1718,7917,9227,11328,7015
+,3126,2595,8380,6062,7793,6090,1673
+,5615,661,7081,9275,5716,12197,12996
+,6734,10504,188,4592,9791,7997,7593
+,5906,2582,7709,12674,8203,667,10904
+,8802,6136,5802,10158,8112,11033,6127
-,5203,6062,6631,3434,12568,2022,11956
+,6302,11668,1265,9636,6946,12548,11394
+,11173,8037,7582,12678,3444,689,11266
+,2692,9521,12376,2550,7913,5166,1657
+,7016,7231,7558,8810,1511,8490,11962
+,810,6527,10730,6721,9903,1508,10634
+,7130,9179,7204,4261,10500,8261,11618
+,3135,8991,6599,7950,8117,8285,437
+,4128,7334,5137,5020,1933,680,8236
+,11749,3294,9829,4507,2340,10525,5955
+,11337,11492,2799,7723,10453,11729,8237
+,4123,7202,6852,8785,8948,8072,7851
+,6686,12971,691,3164,10065,1194,6802
+,5576,11956,6586,7264,1533,8298,1798
-,3143,12023,9983,11302,611,3538,10531
+,725,1915,479,2611,1789,515,5738
+,2064,6622,2893,6786,305,5245,7288
+,246,4045,8991,955,5399,9638,3853
+,12762,9148,9023,11014,1416,6807,832
+,5474,10615,6495,1868,631,1229,11734
+,2118,5251,7835,6082,1437,8319,6211
+,3770,7102,11679,7000,492,387,12512
+,4885,3483,10103,12983,3009,8812,11863
+,1760,5060,8976,6553,1155,4217,9081
+,4831,2638,8401,5335,11674,8668,12941
+,7859,1280,10337,5839,7717,2798,6318
+,5079,8640,11442,11633,9515,6368,4322
+,4682,11323,2788,9118,131,1334,12945
-,1439,1998,5731,4715,6261,5341,9507
+,11034,3895,8597,4609,415,7135,8378
+,1013,9797,123,3457,12237,5953,7112
+,1229,7279,4496,6499,11399,4574,8627
+,9220,335,845,5526,246,5714,12431
+,4914,1041,8250,3756,7015,9073,3319
+,6493,6485,8586,8959,22,9886,3308
+,7433,3272,4746,3561,512,12934,1559
+,12479,5691,2702,12780,8369,5406,660
+,12870,6229,4228,8051,4445,10715,9973
+,12109,2339,9533,1171,9450,5218,9594
+,1528,11673,12362,3092,12037,9745,11666
+,5990,5846,7687,8509,12042,6449,3756
+,154,7809,4631,3960,1347,5761,11475
-,8014,12570,3170,4193,12316,12324,2979
+,199,11370,12383,9451,12221,6923,11261
+,280,3777,2711,6870,12589,468,3786
+,12115,1988,2334,11696,6580,6948,7574
+,4,6979,7487,7294,5626,10155,7692
+,7024,5889,2242,11838,9221,12649,6922
+,5915,10941,12957,500,3972,2183,8871
+,8158,844,12825,3873,12938,4798,2151
+,12522,7471,1527,12844,9311,1862,7171
+,196,6219,6940,5668,3502,10431,12169
+,5718,8275,4263,750,5600,7328,10278
+,5299,11724,1194,12214,3169,5963,12148
+,3680,6925,3148,735,8204,6200,9002
+,10048,10251,9345,4974,5336,7500,8285
-,7069,6656,10072,3455,7052,5681,10162
+,8530,8119,9558,2628,5797,8003,722
+,11307,4708,8507,6747,4109,4237,719
+,2698,276,1873,11828,4248,10181,3142
+,10985,9919,6873,6841,4185,931,7782
+,8091,10250,7434,5519,4316,1612,3345
+,2252,1001,5391,885,12422,10737,2980
+,11917,8633,10220,5916,8016,3738,270
+,431,1716,2199,9632,12847,12797,5127
+,6278,9805,12366,6561,9189,10276,7197
+,529,11207,11214,12739,629,10020,1358
+,10223,4655,2733,3348,2936,423,5517
+,2702,2365,8095,8846,5908,3357,516
+,2681,6929,11077,8371,1120,3569,6753
-,2702,2365,8095,8846,5908,3357,516
+,12063,8603,7041,2673,7361,6126,5623
+,8083,12172,10647,12547,7489,293,5098
+,2972,3358,9200,1664,444,12357,3116
+,10559,5505,9538,3229,6918,3883,12565
+,11154,7127,3432,5209,1412,12022,9422
+,4273,1993,6727,7278,2053,3223,5858
+,8454,4936,7995,3545,2186,10836,3503
+,9478,322,7297,8010,843,11508,6709
+,2560,3184,1397,8804,8466,8542,1018
+,6454,10433,3957,7971,10391,11118,5136
+,8419,3155,1434,2352,6491,11028,6510
+,7597,5741,6899,5101,7825,6686,10531
+,8396,10872,4616,11903,9433,7290,281
-,6873,5041,8148,11147,7104,2857,4129
+,9734,1667,1903,12545,5389,603,4479
+,2142,4787,10708,9380,2793,3324,2665
+,9056,4619,7886,9467,6776,6215,6233
+,5476,5969,3472,2644,326,3587,9203
+,900,9609,7055,6102,5941,7143,10503
+,10316,3880,6687,7726,780,9510,5651
+,1407,12849,8665,7484,6603,11494,4513
+,4373,2537,12459,4708,12284,9408,5088
+,11676,4784,6195,11614,2643,7441,1645
+,12758,4555,11433,8058,2175,5056,6337
+,12542,2249,9936,2754,6520,1139,1025
+,8863,2089,942,8004,9181,1918,8852
+,9995,5731,12576,9004,4613,7166,7011
-,6778,788,8192,1390,6206,6062,6905
+,3027,1763,12411,7793,4451,7760,11960
+,1677,4857,11340,9730,687,12126,5120
+,1817,6183,2206,12289,9026,6233,9100
+,8225,8249,2794,5562,8161,1269,7510
+,8583,5827,5282,11859,5205,12353,8477
+,10116,7067,7015,978,3648,11604,6840
+,3044,8074,8938,3333,1318,7917,3958
+,2202,3108,7326,3887,506,3229,499
+,7666,7546,7950,7673,11239,2344,12713
+,668,9521,1853,12671,1860,3112,9923
+,9135,4301,11690,2710,12918,9026,4988
+,1309,4053,2375,2077,4674,4402,5576
+,4702,5593,12237,11909,3465,11146,3226
-,12168,5347,4024,8482,2399,5002,5943
+,1285,983,9554,1341,9689,2843,5407
+,7298,6503,5774,2195,5931,7915,8392
+,5911,11795,10688,11884,3947,4572,2893
+,1078,8783,1900,8176,8877,335,6018
+,5680,3586,9083,9204,8501,2106,8687
+,404,3827,1251,5995,7475,749,1989
+,9569,8821,7636,12040,11024,1232,1776
+,2363,9740,3405,12484,4129,7104,82
+,5085,6025,3735,8409,3820,12286,9352
+,8484,1560,6775,6499,11326,3852,5101
+,1674,9727,2423,8314,3883,1228,2918
+,2888,11155,2902,1478,7351,11735,11606
+,6814,4012,9453,5368,10769,9703,11365
-,3909,6887,7733,8880,6745,626,11150
+,7396,6908,2841,5530,3980,3893,1216
+,10863,1022,2023,231,314,3532,1928
+,5320,10842,545,7207,6973,10903,5719
+,2995,12848,5790,6802,6518,11318,12927
+,9944,12468,11682,6103,9446,5025,11955
+,3166,3830,8479,9499,718,950,9683
+,2457,8472,9156,7444,7358,8761,8093
+,4162,5033,3806,2156,10653,4168,12400
+,6721,12329,1489,2512,9051,7980,8101
+,2837,9944,2340,351,12965,6546,878
+,3687,12210,3027,10751,8854,4022,11749
+,4193,11562,1280,2473,10089,1404,10178
+,8556,8952,5551,9970,3564,9411,5032
-,5394,9079,1651,11889,5317,5135,7710
+,12759,10643,66,6774,11768,1191,268
+,9200,12398,7104,27,3127,5368,10427
+,7306,11278,5981,2489,4674,4747,10827
+,5779,8369,3997,10731,3371,3064,5130
+,10557,9217,5074,630,8400,546,11998
+,12663,85,12687,7813,10549,5914,2518
+,10258,11130,650,5688,104,4063,12204
+,12401,1737,6565,5925,6707,9766,11806
+,1958,6241,8366,9790,9832,4810,10393
+,10381,9433,8490,5420,2336,673,4670
+,10080,6334,11831,1252,1878,376,4500
+,3715,3495,3302,12766,4120,4012,3461
+,6715,6576,4288,6233,2000,6371,10767
-,12086,6381,6040,11178,12291,3553,4269
+,12947,3781,1597,9145,10700,11017,6092
+,2183,10265,4501,2116,8120,10096,7237
+,8663,2361,6926,5485,10219,5984,3287
+,1380,11987,1170,7137,2355,11988,8417
+,2387,12115,1032,9646,5814,11472,9617
+,10977,6310,8300,11277,2190,12950,1690
+,9423,12038,4360,5087,1557,12368,4575
+,6243,10430,8529,10170,10610,5326,4475
+,8669,5273,1566,5915,5536,9484,11945
+,6977,8918,4991,10186,4114,7494,1486
+,11801,6289,422,8298,3204,6191,12918
+,9278,1683,11622,4190,12809,1246,12347
+,5647,8282,3256,29,8086,3832,4082
-,10224,7661,12068,2837,5514,2181,11039
+,10055,7809,2116,3927,138,11984,3794
+,8088,12742,12864,438,2923,11983,4483
+,4812,5498,1504,280,9983,9445,8673
+,11546,10364,8059,794,12926,5208,12879
