OP,A1,A2,A3,A4,A5,A6,A7
+,9191,3062,3240,10878,294,11303,6381
+,10134,2974,3675,9486,6987,517,12684
-,8755,4545,8623,3648,751,12429,9453
+,4814,11189,4820,5305,7897,6050,5502
+,10511,4584,7512,8289,4666,8551,3499
+,4834,10501,2570,6349,2731,808,3888
+,6025,6604,439,12822,7448,3841,9342
-,2143,12059,5556,4046,7899,962,2809
+,783,12420,9478,12839,6024,9655,3933
+,3662,615,12765,2014,116,2710,7650
+,9505,4591,10349,12868,7676,6723,5594
+,2526,5140,3787,5320,8291,4104,5685
-,5040,9115,10279,664,633,7244,6808
+,1719,10766,2834,12310,5443,12879,5813
+,482,1676,8325,3963,117,3910,9978
+,1170,9886,3703,9210,3472,435,3113
+,11573,12891,9553,11481,851,12398,4255
-,9619,5611,790,5533,12464,8253,1719
+,11853,11805,12640,872,6547,7021,12398
+,10276,10939,12710,7615,2673,11078,7916
+,2198,2479,8111,4555,263,1261,10335
+,7402,3150,8815,2187,2229,10517,7133
-,10134,2974,3675,9486,6987,517,12684
+,1665,10921,1795,506,1014,883,5850
+,8543,11386,4728,2582,1727,10801,9926
+,1336,10453,10515,4272,8269,10414,3643
+,2855,11610,12755,10468,2535,8893,12013
-,11589,10488,12299,11370,3320,574,6630
+,1904,6438,1065,5071,8597,7195,6560
+,6153,12137,1066,8675,12492,6481,6752
+,8688,776,2167,4543,7723,3039,2372
+,2275,2864,11261,9592,10909,724,1427
-,2930,4605,2711,4292,2594,9194,8569
+,7582,3612,6096,7168,9970,8132,10073
+,12018,923,10845,8673,5435,4211,4537
+,7867,4464,12088,10399,3302,397,10118
+,10195,4726,3442,9432,2104,3996,6768
-,276,1850,6883,2951,3236,8141,11378
+,195,9403,16,2797,4602,8858,3507
+,3811,9227,11272,5904,6794,10746,10511
+,10046,2224,3459,7524,2163,6692,2322
+,4554,2530,8861,11320,788,10633,943
-,4834,10501,2570,6349,2731,808,3888
+,1840,8163,10746,11716,3973,3949,9165
+,8309,9068,1325,9600,2980,5054,8188
+,6718,12797,11971,7045,5013,8065,3613
+,7809,8983,9549,11173,3695,1351,3376
-,1719,10766,2834,12310,5443,12879,5813
+,1162,11067,1506,2478,7628,9185,12243
+,4527,1542,2486,3545,8431,5595,9019
+,10636,12808,12525,12836,3699,6361,3992
+,9046,6661,12763,7246,2516,11988,9483
-,8824,5374,9447,1020,4284,9025,6175
+,1806,10811,5255,8123,5776,9514,7952
+,5749,5662,3003,7877,4154,3066,9307
+,10402,1303,11800,9113,2013,3682,6565
+,1156,4810,1877,8401,11861,5601,8170
-,12312,2510,10120,5052,6916,12042,2402
+,12765,12881,12028,7194,2627,1385,12210
+,4811,527,10167,1959,1646,1509,11994
+,655,8133,905,7984,8236,11413,10494
+,5705,5949,2670,12938,7527,6007,12750
-,9191,3062,3240,10878,294,11303,6381
+,9919,9683,3099,1799,2126,6167,6853
+,11701,12189,9382,6131,10168,1452,6332
+,2623,848,5078,440,199,1964,9241
+,9137,2436,5364,8593,9933,3006,2482
-,4556,8595,11718,12454,4657,4666,9914
+,12001,4839,10173,10588,6082,8676,1062
+,3013,9777,1397,10121,6082,3894,12787
+,10255,427,12672,8639,9731,10552,5355
+,1146,2147,5608,5047,7194,3074,12242
-,8832,11470,11209,204,5758,7443,10853
+,2044,5293,12027,5591,6447,2942,10983
+,8436,10701,7270,10208,7101,6673,9986
+,1936,6016,2063,11378,2848,128,3712
+,1897,11967,10343,12249,1909,12763,7766
-,9919,9683,3099,1799,2126,6167,6853
+,7542,8583,11383,5804,2599,6524,5625
+,1905,2667,6584,1627,11844,9849,9474
+,5887,11900,6866,2701,1666,7978,7121
+,152,731,6181,8833,2329,12073,3507
-,10482,4285,4822,128,2483,9565,239
+,44,12461,3080,1255,7353,7399,9375
+,11698,10255,8067,4310,4605,4989,7761
+,4184,1796,6940,3844,2358,12291,1579
+,9597,8,7409,4845,2816,10875,1009
-,5705,5949,2670,12938,7527,6007,12750
+,2090,6668,3589,7567,8990,9628,12107
+,2880,5219,1541,2930,11503,7231,684
+,7647,1046,3481,7417,10505,7006,12311
+,850,7370,11642,8450,11635,9559,7954
-,10636,12808,12525,12836,3699,6361,3992
+,8722,10411,7076,2434,1414,4390,3013
+,11664,12689,9625,4529,11768,11217,50
+,826,1014,12344,11734,10176,1680,588
+,4878,9719,3316,8509,1545,9331,3504
-,12119,4789,10001,12525,9874,12087,12178
+,8872,433,10559,3694,113,12595,438
+,7907,5733,10047,11340,7815,3198,9275
+,9330,9152,9911,10184,4787,11648,12957
+,9235,1160,9705,12672,6586,1525,9991
-,2198,2479,8111,4555,263,1261,10335
+,10512,10718,4841,8650,6276,7182,3916
+,4212,3561,9501,8819,8798,11241,4750
+,9654,601,3410,7202,11599,5513,698
+,7,7782,11009,4824,9317,5973,3060
-,482,1676,8325,3963,117,3910,9978
+,6193,3405,2807,10385,1507,9641,11411
+,7103,4991,9576,125,12304,3916,12597
+,6779,78,6947,3608,5434,3825,108
+,5145,12669,12099,6756,5664,7276,10887
-,4527,1542,2486,3545,8431,5595,9019
+,213,4394,1183,11463,2976,12371,911
+,8128,6859,9987,10595,4793,4965,2726
+,12148,9494,2486,1870,5441,7372,12602
+,12914,1606,9941,2781,1575,6919,3027
-,11113,5873,6050,4567,11697,9973,3805
+,2551,1390,513,10452,9397,2234,6690
+,1346,6439,11449,7187,9206,11985,2384
+,2857,11813,12021,3844,6248,576,12345
+,12885,5438,1311,8474,2377,1520,10015
-,5545,11071,12030,1350,7213,9674,6962
+,2407,1076,11807,11835,2741,2137,122
+,1715,3817,8054,10968,12198,99,1336
+,5239,2674,9267,4321,9784,371,1246
+,9033,11610,7818,2206,4625,11933,2504
-,44,12461,3080,1255,7353,7399,9375
+,2399,5649,1857,5517,2189,5290,5225
+,5919,11116,2120,3167,2142,6385,6704
+,2392,8247,8617,8570,10454,7347,10259
+,4226,8746,1869,10925,457,6954,2375
-,5145,12669,12099,6756,5664,7276,10887
+,11761,7098,1521,323,6193,1482,6494
+,1986,1189,12231,8698,3219,4058,6267
+,2344,11174,10197,8840,9776,338,11392
+,8653,4157,1071,7233,2755,9631,2042
-,11761,7098,1521,323,6193,1482,6494
+,800,10822,4869,5336,12914,5807,881
+,5838,1560,9938,9349,5104,179,4123
+,10977,4144,12876,3136,10211,10605,12966
+,4920,5815,154,4622,2565,6655,474
-,5456,11607,1228,11309,11296,9755,6021
+,6452,9331,10213,12686,5662,10241,500
+,462,11665,4460,12407,5016,6069,9687
+,10311,4267,460,12809,8220,10341,2773
+,3174,6844,764,1049,3878,5842,11895
-,12914,1606,9941,2781,1575,6919,3027
+,3695,1983,1681,9188,3684,763,1716
+,4855,4323,33,1248,11662,1087,7651
+,6822,11410,2102,11148,11192,9130,8106
+,9150,12748,5967,9668,5588,2434,11904
-,12765,12881,12028,7194,2627,1385,12210
+,968,10359,9134,814,3486,11072,3999
+,797,8812,4519,7575,280,5634,11672
+,6682,12246,703,3910,17,2107,8945
+,6874,8348,3558,12556,12273,8839,2969
-,655,8133,905,7984,8236,11413,10494
+,7836,8670,6418,2673,9778,9110,10484
+,7410,604,2090,5264,9993,9262,5489
+,10114,5584,4367,6573,6807,8227,3384
+,4802,5484,3055,2308,5569,997,9869
-,5989,11112,3890,685,6098,7669,1892
+,1637,9844,5652,2246,4265,7615,11699
+,11768,9001,2934,12290,3913,4489,132
+,2484,9651,5187,2548,7276,3506,2652
+,5735,9627,5650,11454,11267,10728,9569
-,8964,12886,4391,3749,12048,8346,9503
+,11098,9675,8162,6915,543,12630,3248
+,10347,11185,11672,12656,7314,7462,6921
+,1260,2740,4816,2806,5794,1212,12989
+,1881,6891,6764,9633,5807,5817,3701
-,11701,12189,9382,6131,10168,1452,6332
+,12085,9093,7606,7508,11941,3283,9094
+,9059,5143,6428,7418,6645,10683,4590
+,11079,4823,4067,9685,9022,474,6702
+,2517,4881,9539,8717,12889,7494,1297
-,12148,9494,2486,1870,5441,7372,12602
+,11553,5153,9829,12691,4926,4195,7893
+,9886,8226,1266,9352,12853,8428,8430
+,1050,7367,10601,3118,1640,5203,8318
+,9733,189,86,6746,11325,4737,1927
-,2551,1390,513,10452,9397,2234,6690
+,7067,444,9739,1617,5276,10836,5126
+,10390,5876,8682,8686,3649,652,10447
+,1927,2048,890,2849,7321,1848,408
+,1954,4082,6597,9733,6930,9685,6994
-,3037,9273,717,11016,8039,2721,1763
+,6948,2832,2646,12008,6711,1860,5602
+,12717,5640,2924,2843,673,10800,4466
+,10309,5802,1290,3808,1012,2170,3975
+,11469,4212,8158,10006,1416,6033,1600
-,11967,5864,2411,4574,9242,4309,11386
+,12944,9719,12491,8252,3815,281,4492
+,11770,2271,6842,8331,3420,220,2263
+,8243,673,7510,1293,12750,3025,3643
+,12347,5506,12179,10943,4602,5759,4061
-,3695,1983,1681,9188,3684,763,1716
+,2629,7729,12862,2425,11453,10982,12213
+,8716,2701,9752,6699,1198,837,1141
+,6320,1499,10431,2020,8429,264,9043
+,10682,3806,12446,11307,319,624,4318
-,10682,3806,12446,11307,319,624,4318
+,7136,10913,4003,7172,2693,2118,11706
+,5800,2060,12651,3231,5985,4502,9280
+,2060,11473,7366,2376,4904,11679,3171
+,5945,8581,7798,6119,853,3482,7064
-,12388,4267,12989,9196,11316,11648,7754
+,121,756,5783,12328,10046,7062,11678
+,8326,2418,9948,3162,4495,5984,576
+,3978,12964,9498,1943,12653,4242,9703
+,6321,2282,9075,8950,6242,2769,4951
-,12717,5640,2924,2843,673,10800,4466
+,1691,3779,3857,9261,10668,8370,10729
+,11641,6102,11745,5073,4231,4375,5734
+,9449,9342,1656,12707,11170,10296,3557
+,2160,6735,1697,4089,12228,5999,10582
-,9692,10334,11102,6026,10600,975,5655
+,7282,2674,5067,9797,589,6408,6355
+,5909,5624,3760,2662,8070,3282,8798
+,3471,1781,2912,9193,6848,1213,699
+,12856,12609,3488,1730,10013,10795,1541
-,7836,8670,6418,2673,9778,9110,10484
+,6975,9108,4582,3561,5743,2731,5549
+,12114,7372,5679,1451,2254,12699,9928
+,2898,3503,8630,5727,1294,1284,10554
+,266,936,10476,10065,299,6795,10539
-,10511,4584,7512,8289,4666,8551,3499
+,5750,4482,4168,2502,3596,4838,5687
+,6541,3010,1535,7576,4485,7804,5584
+,7061,2688,8793,2177,3977,11343,1943
+,7315,4956,5682,12657,3938,4399,4157
-,9449,9342,1656,12707,11170,10296,3557
+,12884,1198,9710,9039,11037,5011,3916
+,3996,5082,3795,12655,1822,6029,220
+,4609,3205,3132,2214,11491,7561,3602
+,3416,3763,4284,9775,10756,12892,3035
-,2629,7729,12862,2425,11453,10982,12213
+,4829,10172,1313,12803,5304,9518,6782
+,7484,9079,1076,5252,7565,1347,408
+,2088,10439,212,5056,9105,5317,1429
+,3101,8861,8036,5776,8348,6449,5430
-,12944,9719,12491,8252,3815,281,4492
+,215,6058,5254,3332,11433,9713,2774
+,805,9145,12793,5234,1270,9395,10811
+,8523,5756,634,8059,12970,10111,26
+,12670,4180,2369,4503,12105,10014,1091
-,7282,2674,5067,9797,589,6408,6355
+,4230,5847,6932,6885,2962,7871,9880
+,472,10618,11616,8167,4294,7628,7959
+,9339,8819,9616,10504,4892,11447,4550
+,2582,2436,7169,4587,5362,2825,2926
-,7867,4464,12088,10399,3302,397,10118
+,12139,4822,12563,2439,6282,1000,4632
+,12292,2036,11075,2239,3831,86,11711
+,12143,2029,5330,6943,2928,12017,2672
+,2659,4757,6045,5947,10056,9323,11987
-,11853,11805,12640,872,6547,7021,12398
+,1833,11407,12080,9797,4715,7364,1918
+,11555,10753,11885,6527,2089,352,121
+,10607,7437,3923,2135,9427,855,4884
+,1445,480,1511,8890,1697,9006,6575
-,8716,2701,9752,6699,1198,837,1141
+,6736,11606,10596,2926,5232,10465,5713
+,2596,2280,2171,6686,4252,5107,6275
+,12933,10449,1630,10313,2640,5344,11537
+,11588,3953,10574,445,6096,7528,10467
-,826,1014,12344,11734,10176,1680,588
+,838,12083,9798,2472,286,5967,4236
+,8586,6721,8295,6062,6307,12048,12392
+,11848,2143,10897,4690,91,11590,1476
+,5490,3281,7089,11519,8123,2746,5448
-,12670,4180,2369,4503,12105,10014,1091
+,9831,2649,6645,2861,6867,11965,7393
+,9410,10939,9255,6652,9397,4179,4407
+,5602,11030,9253,10888,7172,5698,8991
+,248,8679,4185,4566,882,3507,10943
-,5749,5662,3003,7877,4154,3066,9307
+,4429,11012,9610,7050,7467,4785,10261
+,8346,10340,5194,7135,4085,7265,5209
+,7031,3048,7209,4013,2167,6332,1527
+,742,3881,9264,12090,3577,432,4088
-,5735,9627,5650,11454,11267,10728,9569
+,7552,5184,4947,7179,6867,10836,9779
+,322,11621,9948,12311,2082,9476,6539
+,5604,3286,7515,10385,14,12665,2723
+,7892,11228,9084,715,288,4318,4906
-,9059,5143,6428,7418,6645,10683,4590
+,4498,10202,1162,11134,1474,3889,2291
+,5784,12980,5124,7600,8150,26,5894
+,8771,4076,9025,10129,8639,15,4105
+,11602,3764,11299,10096,2882,2470,8327
-,11641,6102,11745,5073,4231,4375,5734
+,4275,497,8907,1184,10200,2403,2217
+,12487,8203,7148,4262,12401,882,1103
+,2300,4426,10777,12869,9846,12222,1108
+,5722,2182,11930,63,10781,154,5501
-,2275,2864,11261,9592,10909,724,1427
+,787,10220,11303,8017,12044,10680,9432
+,10022,5368,11340,2497,12124,1126,7365
+,4930,6040,584,763,8472,10743,9071
+,5618,2022,493,5876,2829,4668,11143
-,1106,12117,3788,7738,2795,4111,5806
+,9808,8398,2934,5048,8325,1970,3275
+,7434,9815,2273,21,6701,6389,9011
+,3431,1949,6574,3697,2928,12995,11596
+,2283,7647,12607,4435,11403,10380,6012
-,9733,189,86,6746,11325,4737,1927
+,5078,12058,8467,136,5996,6002,339
+,10861,2677,9751,11548,6947,7880,7947
+,7668,855,6572,12578,6118,12816,11778
+,8208,6035,9723,3940,10630,1300,5383
-,8872,433,10559,3694,113,12595,438
+,1564,8434,8197,10117,7764,3326,1900
+,12700,3801,9282,11584,12920,9564,6746
+,2462,8634,7564,8945,10139,6184,8239
+,120,6800,2279,3329,4643,10907,10674
-,1715,3817,8054,10968,12198,99,1336
+,11026,2964,6237,3220,2555,1141,10260
+,2511,10760,7539,1459,12462,9152,9428
+,1352,5437,6908,11373,1340,9999,4936
+,4095,30,8622,404,1240,3926,6460
-,1637,9844,5652,2246,4265,7615,11699
+,9951,1576,7726,8916,6012,5992,658
+,1595,2459,10624,6454,7929,4258,11932
+,6023,4547,3994,4876,11595,6447,3894
+,1551,9565,2169,2773,11644,6871,8977
-,3978,12964,9498,1943,12653,4242,9703
+,6355,2022,4039,7167,6762,10219,10707
+,2216,2043,12995,2195,12972,5413,10048
+,9478,11625,4544,2953,3846,9429,9661
+,8247,5679,10550,9560,369,3264,2492
-,3471,1781,2912,9193,6848,1213,699
+,6255,2260,4559,7453,8571,7521,3628
+,8038,1630,128,2842,9803,7041,4210
+,1562,4076,5402,10672,7520,5695,3357
+,480,4935,11148,9997,12768,8546,10591
-,8243,673,7510,1293,12750,3025,3643
+,9303,7873,2190,12011,12574,10422,10236
+,10415,1014,2911,1838,204,8692,4795
+,12731,9835,6284,3036,7797,4977,10433
+,6093,7655,924,11608,10840,9141,5999
-,8208,6035,9723,3940,10630,1300,5383
+,3503,3400,6666,10528,2919,6891,6581
+,9373,3273,10612,4387,226,64,7032
+,354,5730,12697,12874,4697,5136,2849
+,12071,7463,9013,12189,8672,8646,12174
-,1833,11407,12080,9797,4715,7364,1918
+,5298,7175,8043,7703,7034,11267,4206
+,2046,6491,2912,5128,5945,12481,8406
+,9370,9416,3060,12561,8624,11695,2923
+,8098,2347,4534,5792,3912,9699,5562
-,8653,4157,1071,7233,2755,9631,2042
+,3346,7800,5312,6241,12564,5011,12039
+,8111,10039,1908,12503,3503,6754,3689
+,931,2298,9325,7668,1835,9388,2628
+,6615,3383,2236,1266,7230,6729,4103
-,8420,7119,8553,10596,12665,9124,9708
+,10514,6341,5357,9099,8809,4021,7358
+,12990,9650,6051,6265,7064,6316,7947
+,7143,3104,4618,9635,1381,4055,11561
+,3805,7730,8780,298,5738,2152,9520
-,1146,2147,5608,5047,7194,3074,12242
+,3204,6206,11487,12365,3524,10626,11641
+,10878,10554,1514,9953,8555,12076,4076
+,7350,7601,10161,12757,6641,10822,3368
+,1878,9159,7926,4242,505,8777,5629
-,6541,3010,1535,7576,4485,7804,5584
+,5347,6765,11350,11448,10130,577,602
+,12650,3227,10137,11776,5775,12791,1999
+,10900,1817,11823,8590,11311,12526,4758
+,8329,11761,25,10893,288,10546,6879
-,5239,2674,9267,4321,9784,371,1246
+,7776,11093,7231,12434,5522,3582,797
+,12160,8181,3759,7608,6170,5429,3227
+,1710,6635,2243,339,5254,8398,610
+,9096,4654,10266,6669,5766,11618,12878
-,2898,3503,8630,5727,1294,1284,10554
+,9652,5552,5115,4104,11945,6490,10907
+,9187,9946,6031,8841,9603,9449,11542
+,8998,6774,775,501,8267,12255,12674
+,12833,6799,4228,6515,11799,9742,9738
-,1878,9159,7926,4242,505,8777,5629
+,1316,9445,12296,4648,11005,11453,5061
+,10468,11087,490,8588,8471,10146,12756
+,8960,4167,4253,6223,8140,10836,8991
+,7553,3362,421,9728,11943,2313,12318
-,2857,11813,12021,3844,6248,576,12345
+,6954,3194,11558,6983,10898,5229,1511
+,6789,1433,10401,2694,8708,393,4183
+,1177,2656,826,672,4488,6595,7273
+,5140,4294,4051,12512,5447,4105,4329
-,1986,1189,12231,8698,3219,4058,6267
+,4931,10557,7384,9210,831,12050,10118
+,9701,12356,5865,2619,7721,7507,12870
+,3612,1116,6510,1482,3452,475,11999
+,10205,11084,8762,8523,6421,5295,6260
-,1346,6439,11449,7187,9206,11985,2384
+,4736,10973,804,10819,8884,5386,9059
+,6536,9572,11178,387,10624,5753,5219
+,1285,24,12053,7426,9425,1625,4803
+,11280,1656,9632,8751,5221,5972,2582
-,787,10220,11303,8017,12044,10680,9432
+,8914,2214,3330,5731,6221,3115,5836
+,12637,570,12181,1339,4879,5561,10998
+,11460,2933,7404,4618,1761,309,4533
+,7566,8682,899,4059,4571,10323,2907
-,8998,6774,775,501,8267,12255,12674
+,11504,517,2200,7190,3692,5809,4314
+,1201,9761,10827,12419,7524,3090,12358
+,3925,7603,4142,3710,10586,3560,5907
+,12576,7113,2407,12824,9442,5764,4379
-,6320,1499,10431,2020,8429,264,9043
+,2852,4087,11860,11034,1698,12066,3637
+,2796,5596,4387,12417,2153,11545,6715
+,12845,6888,6699,5180,7173,10601,12857
+,7576,8172,2825,688,12693,4987,6548
-,2399,5649,1857,5517,2189,5290,5225
+,10813,8082,5445,11837,3915,5429,11772
+,3135,12991,5369,10563,1202,12835,3257
+,2285,1688,4563,802,8619,1791,11560
+,8801,5,5618,5855,1245,11805,1865
-,12856,12609,3488,1730,10013,10795,1541
+,6308,11020,9660,2831,11586,4078,7360
+,104,2090,1096,9937,10190,321,3235
+,586,9813,5721,3790,5216,1756,10367
+,8704,5468,5429,9885,8120,10558,10365
-,10402,1303,11800,9113,2013,3682,6565
+,10362,8069,12634,12974,9423,6844,12360
+,301,5631,8884,681,5401,10171,11287
+,8260,1992,1383,7026,11728,7195,4487
+,2626,3555,1711,7554,10564,678,259
-,5490,3281,7089,11519,8123,2746,5448
+,2773,10257,5267,6110,688,4089,7884
+,940,3996,1259,2474,6283,12138,7729
+,3921,12917,227,2123,11359,7469,7282
+,12908,4399,11971,10964,6303,9499,2574
-,7410,604,2090,5264,9993,9262,5489
+,6706,4178,12857,1282,1147,2294,5133
+,7367,572,10501,894,9742,8181,8440
+,7762,12063,5950,870,12245,11835,5804
+,7984,1271,8589,6331,1874,4409,12223
-,8111,10039,1908,12503,3503,6754,3689
+,2520,12344,11926,12908,3543,3407,3753
+,11052,2819,10241,1709,6921,332,4518
+,869,5330,4330,4977,10838,124,3922
+,1482,6541,9402,9855,1355,7445,6613
-,3805,7730,8780,298,5738,2152,9520
+,7721,12535,8918,2586,2463,3163,8569
+,10689,7562,5462,5130,10744,11186,6320
+,9123,10604,3742,4301,10683,4606,11000
+,10764,4967,3480,535,3670,896,9852
-,5784,12980,5124,7600,8150,26,5894
+,4741,6641,2062,8852,1513,12929,11477
+,12352,8669,5381,579,12614,10691,9845
+,11710,8102,10994,2705,5247,2743,10717
+,4393,10851,137,10661,2284,12882,2375
-,1201,9761,10827,12419,7524,3090,12358
+,10717,7515,1321,11218,6680,938,5255
+,8172,4733,11173,9373,9139,6117,293
+,11549,1567,11750,10252,12569,1512,6230
+,11467,3760,11434,2386,9799,3755,7385
-,8586,6721,8295,6062,6307,12048,12392
+,5313,7528,9013,3200,8728,12274,10700
+,11205,3143,4596,4590,5442,5218,3223
+,6909,1869,1640,6647,1367,999,2413
+,8990,168,672,11921,10889,5544,9569
-,2520,12344,11926,12908,3543,3407,3753
+,11470,6692,8043,6074,12986,2622,3953
+,9304,821,7841,4558,3740,11048,4437
+,5972,4896,2011,8473,9244,5806,5813
+,2666,5211,11965,2767,10627,10662,822
-,12487,8203,7148,4262,12401,882,1103
+,4790,9950,3971,7696,1807,10865,3013
+,9460,11823,10865,12858,221,2440,10804
+,1703,12163,1047,9286,12516,7424,12067
+,875,2994,9446,832,8768,10686,10728
-,6615,3383,2236,1266,7230,6729,4103
+,2256,10131,12463,12820,11993,1111,10313
+,8145,10270,816,12646,7390,8488,1436
+,2342,6280,8950,3205,7746,5039,765
+,249,12681,7137,6772,1234,2956,9246
-,8704,5468,5429,9885,8120,10558,10365
+,11351,12971,687,9316,2896,5868,1551
+,2420,1730,9229,6379,7101,5212,1167
+,2192,10908,2387,1472,12600,10217,1089
+,4310,7054,2284,7062,12893,4332,6074
-,8260,1992,1383,7026,11728,7195,4487
+,3306,8797,12032,10270,6895,4776,11885
+,2710,5555,7274,5621,4746,11607,8664
+,3824,1136,3244,3083,10901,3199,5050
+,5302,10516,1427,5481,8537,4258,7036
-,1551,9565,2169,2773,11644,6871,8977
+,3244,775,9047,12443,3094,5666,8478
+,5170,9432,216,3184,7979,6564,7350
+,1250,2438,6372,6842,10187,3069,3295
+,134,12154,5411,8820,10506,9613,44
-,5750,4482,4168,2502,3596,4838,5687
+,9041,1959,10768,2114,5869,8223,9486
+,8174,2334,2060,1466,11229,1376,327
+,1750,9094,4640,6944,6183,12929,7246
+,4371,3997,7716,847,2638,8386,944
-,11351,12971,687,9316,2896,5868,1551
+,6439,2741,8566,3762,893,6958,10382
+,13,5908,8334,7832,2266,963,2509
+,4438,7750,6442,5643,11718,2276,11825
+,7670,590,6807,7184,12854,4959,1391
-,10717,7515,1321,11218,6680,938,5255
+,10248,1518,12280,2226,7874,412,12570
+,7971,1918,12599,1656,2578,6683,4666
+,8459,3332,2990,3251,1062,2315,9065
+,5606,341,8136,4129,10297,8613,4860
-,12637,570,12181,1339,4879,5561,10998
+,10704,4747,5734,7897,1084,1583,12515
+,3645,8304,3530,3803,52,7157,5694
+,10038,12787,11491,2823,12181,3693,6678
+,610,3205,3690,6345,1631,11112,785
-,266,936,10476,10065,299,6795,10539
+,623,1579,12318,9162,4003,3785,8352
+,11998,12291,8661,4107,4086,4730,3740
+,12383,937,2013,12160,12921,1953,3013
+,437,7057,4851,1636,2691,3140,5108
-,1373,5185,10886,8815,10481,12178,6966
+,3543,10550,3269,7560,2628,3809,3059
+,1706,10925,11637,11083,1101,6766,12855
+,5055,5155,149,1739,8349,379,4322
+,3660,1262,4771,11754,2574,4431,9493
-,6403,12803,816,6985,8914,7680,7586
+,2454,5095,1300,5062,12160,12297,1190
+,6213,4574,8119,2491,8373,12485,7997
+,8204,4664,8666,2685,11939,7880,10932
+,2245,12965,5109,289,2692,3376,4873
-,10900,1817,11823,8590,11311,12526,4758
+,5175,8912,2897,9591,8589,38,6537
