OP,A1,A2,A3,A4,A5,A6,A7
-,3833,4998,318,6124,2370,2834,10562
+,7024,8963,560,619,10307,2087,2626
+,3123,10151,5255,4599,1684,3332,9473
+,6509,9331,8934,12641,1730,9654,12778
-,8173,5087,10818,2454,2198,3140,584
+,2941,374,11691,7971,4771,1499,1545
+,7828,10515,12432,7034,6675,109,6069
+,2959,1770,6051,12243,10907,1896,11350
-,12713,10729,1848,11503,5849,10374,5424
+,1070,1115,1487,9946,5858,7328,4924
+,12359,9125,3690,4578,1210,3592,1747
+,12631,7307,2057,8411,3712,3235,7404
-,4471,2719,107,3848,526,10404,4218
+,9469,7600,1798,9280,4066,3694,5142
+,11523,6415,1097,9265,12702,7968,6426
+,7764,6831,8662,4483,11233,12005,5034
-,3123,10151,5255,4599,1684,3332,9473
+,3534,3729,3231,11317,11188,11643,4074
+,11026,1832,7587,11715,10713,9902,986
+,6189,4395,8955,1846,6602,12161,2469
-,12341,9623,6158,2186,10646,1300,2684
+,10115,7921,12541,3680,973,6436,2726
+,12731,5774,967,38,1408,8513,5352
+,3537,6542,7645,11689,161,7578,12728
-,5644,7976,11033,5941,408,1714,12866
+,6739,9202,7073,7990,12666,2599,5029
+,10836,8752,3957,1589,5140,822,4763
+,12125,2945,3422,2546,2731,2120,1278
-,5615,5173,8732,8210,4418,7356,2865
+,1752,2561,711,11284,4030,6820,10050
+,6255,11918,10935,7796,9999,8199,1080
+,6659,10027,4788,4500,2409,665,1266
-,6509,9331,8934,12641,1730,9654,12778
+,4187,9722,415,12070,7413,6214,1416
+,1861,2045,2422,7243,692,10820,11887
+,8798,7957,6976,6379,8824,9928,4565
-,10115,7921,12541,3680,973,6436,2726
+,9278,12915,458,4938,5213,4508,5332
+,10250,11204,3970,4298,2859,1167,8727
+,8548,8179,2702,12974,2526,8596,1552
-,12731,5774,967,38,1408,8513,5352
+,2985,11939,6674,9441,2144,9490,11687
+,6194,11618,7282,7032,6005,5626,2569
+,8367,12438,10842,7667,3469,9634,12759
-,4187,9722,415,12070,7413,6214,1416
+,12210,8032,9231,4562,391,6199,1928
+,3199,346,7540,10520,8334,3930,9526
+,5131,177,12455,9196,10573,2686,10188
-,2259,1825,12916,9552,6996,5754,4949
+,3295,137,2707,2658,2538,6419,7605
+,8081,9013,10673,1960,1590,784,2583
+,2943,954,7,2594,4100,4636,10782
-,5030,6381,1220,6521,7999,1150,1315
+,6139,10652,926,7169,12981,10368,10855
+,1810,6635,6414,448,1502,1207,8194
+,8068,12229,10246,2314,658,2697,3706
-,10836,8752,3957,1589,5140,822,4763
+,3005,12252,2963,8000,3328,7606,7409
+,6282,6270,4203,377,10128,4630,11429
+,4373,3029,9738,3208,4274,95,2912
-,7828,10515,12432,7034,6675,109,6069
+,8116,5164,6669,9780,4306,5711,1350
+,9843,5968,203,5108,5698,2293,5749
+,3143,4327,7855,5439,2959,8002,7677
-,3199,346,7540,10520,8334,3930,9526
+,1129,9222,3124,12990,1081,1688,7141
+,7501,7892,8615,674,11643,12689,1587
+,865,8149,12053,12815,1331,2251,1253
-,4307,5230,801,7136,3921,11476,6708
+,11622,12354,9622,1594,6956,10964,7122
+,11878,11012,6242,12988,6264,7274,6712
+,8721,7905,10587,1866,6688,6013,4371
-,1055,9880,8251,8299,2587,1642,11546
+,7722,6388,2467,4052,2103,3690,3297
+,3328,6705,6839,8524,2470,1718,9222
+,1137,4270,3474,5739,9595,4609,4475
-,6659,10027,4788,4500,2409,665,1266
+,11072,4539,7963,502,2291,7476,999
+,8059,11212,577,10367,10513,2058,4266
+,3090,282,12257,9826,4850,7862,12320
-,8068,12229,10246,2314,658,2697,3706
+,10029,6154,8881,4529,2678,4593,12705
+,2839,651,849,963,5653,11759,2315
+,7059,6847,10187,9085,6868,11039,10840
-,6189,4395,8955,1846,6602,12161,2469
+,687,5167,8580,2880,12879,196,12051
+,8230,11763,5371,569,10994,11710,11936
+,662,10473,99,2297,7296,7820,7048
-,10029,6154,8881,4529,2678,4593,12705
+,11083,11890,8600,634,193,1203,6873
+,2108,11342,9417,11234,11529,6742,2550
+,12777,10351,3972,4655,12562,7379,8887
-,7084,12488,7004,8764,7126,9478,5663
+,10091,9886,3444,11335,9018,12898,163
+,7641,12867,4085,2928,3906,12143,12128
+,3710,3927,8381,3208,6851,4538,7670
-,8798,7957,6976,6379,8824,9928,4565
+,4534,7798,10699,11648,2386,4240,7056
+,523,514,665,2114,4358,7371,10115
+,4809,1803,777,9355,1020,8604,11964
-,10091,9886,3444,11335,9018,12898,163
+,1221,10928,10062,2210,6447,11463,12596
+,11675,2896,5878,1915,12872,865,3783
+,11788,2344,10006,9589,10726,3814,7496
-,9054,11127,9043,10862,5504,2249,3367
+,7931,7271,490,7441,8517,2123,7613
+,3565,8941,10354,7895,4112,11482,3206
+,7091,1034,5848,5940,4050,10282,12889
-,4373,3029,9738,3208,4274,95,2912
+,10529,10364,2153,7953,3537,7592,3271
+,6275,3468,12945,11749,903,8209,458
+,8746,657,3687,12326,482,12174,10254
-,10916,2449,682,4438,10693,6925,2426
+,7093,9844,11594,11012,4931,6309,12928
+,4894,7116,4062,1773,6174,668,1727
+,1689,12062,11210,2920,5414,6062,12815
-,12107,12267,5116,7474,6556,4063,3586
+,9158,418,11154,1483,12021,1383,11506
+,10306,10835,12660,11801,7985,5965,10222
+,6510,5296,7324,4370,10975,12959,7298
-,2996,8652,2159,7731,11112,4146,6975
+,11480,8579,350,4660,4241,411,2434
+,4402,6850,9573,2696,7427,6717,986
+,4531,8544,5507,9366,4139,1755,6261
-,8813,9168,11172,3810,1497,6573,4424
+,9353,9939,11718,4750,11034,12807,3226
+,11468,9466,5879,2141,451,2070,4457
+,5154,7509,1410,12959,4670,6268,7577
-,11369,9314,7644,3513,849,664,1438
+,9776,2273,9382,3022,412,9592,8339
+,6695,3330,12690,9119,2576,2560,3261
+,11700,2142,10475,3067,4563,4525,11842
-,6739,9202,7073,7990,12666,2599,5029
+,12164,8112,9059,12263,4649,6530,8245
+,9753,12015,3163,292,4727,6507,1073
+,6064,131,9171,6004,9426,7411,12369
-,3537,6542,7645,11689,161,7578,12728
+,1225,5032,7508,10166,9848,5800,1807
+,1024,10075,6414,10298,6565,10047,6189
+,11437,9903,5117,5183,226,4481,12040
-,12125,2945,3422,2546,2731,2120,1278
+,10961,10981,9588,11484,4892,11131,9707
+,1573,11686,2337,8457,10422,4184,6631
+,5743,9779,5108,177,2227,1672,5189
-,1024,10075,6414,10298,6565,10047,6189
+,4023,12089,4982,10310,3722,4285,3921
+,4433,3421,4702,8080,2787,5403,10710
+,5185,7103,12205,4425,281,8282,4616
-,6064,131,9171,6004,9426,7411,12369
+,4701,8535,1341,812,2917,7467,8967
+,4445,12854,2015,6784,622,3520,10398
+,12326,8166,9683,6386,9291,4515,7861
-,10306,10835,12660,11801,7985,5965,10222
+,2650,9311,7996,758,1016,11238,11164
+,11239,11445,5243,6038,9352,2739,3966
+,9875,12218,322,1461,9963,5391,7369
-,9843,5968,203,5108,5698,2293,5749
+,9869,2184,3289,4288,5185,4553,9880
+,8601,992,8510,11021,89,2844,9112
+,3948,10804,7896,10296,11292,9521,10562
-,11675,2896,5878,1915,12872,865,3783
+,8553,4951,6272,7656,6669,6729,2862
+,10614,9890,7340,9918,1946,6823,9253
+,10668,1911,5353,5288,9395,4512,12231
-,12777,10351,3972,4655,12562,7379,8887
+,7016,2253,8077,5554,9908,6491,5110
+,9172,3322,6982,4839,11711,9125,3364
+,8023,20,11698,2183,5962,3421,9332
-,5356,524,1367,12313,12970,4636,228
+,11181,10812,6604,12674,12658,2350,9091
+,4625,4020,11782,8641,4686,2909,1514
+,1116,7267,11901,11365,4959,1554,9489
-,4445,12854,2015,6784,622,3520,10398
+,9828,976,11401,4233,11027,12747,12133
+,4003,10503,9813,3122,7930,8373,10231
+,6432,4544,8321,7210,529,12294,12123
-,6194,11618,7282,7032,6005,5626,2569
+,848,6506,10057,12342,1872,12555,2504
+,919,7952,1108,7176,10421,2975,7207
+,10219,6791,8321,1241,1192,1646,397
-,2744,1112,578,12262,6684,12670,7706
+,10188,287,9916,9572,10530,11427,2608
+,12694,5304,3799,11491,11645,8879,9589
+,3085,7931,2466,3016,6599,8136,1491
-,3710,3927,8381,3208,6851,4538,7670
+,3262,2216,849,2523,2020,494,5913
+,3320,9893,6129,5225,6528,4626,6527
+,3727,5564,1778,4467,11578,8025,6311
-,9353,9939,11718,4750,11034,12807,3226
+,4182,7794,6346,2362,6113,195,6025
+,9364,11739,1225,4939,3373,6432,5400
+,12998,5816,12384,8249,3885,6191,10883
-,9113,12583,1300,8487,5953,6413,7434
+,11804,11149,5460,12555,457,5455,11877
+,12577,2792,10553,4777,6802,5311,12886
+,9338,8553,3607,4560,5726,3757,10315
-,10250,11204,3970,4298,2859,1167,8727
+,3611,10565,2607,7471,7674,3936,5371
+,11884,11208,6241,2956,885,698,6039
+,12302,637,977,6864,9450,1626,4400
-,11878,11012,6242,12988,6264,7274,6712
+,12339,6359,2381,9264,5128,4586,5534
+,5329,6223,150,8534,5243,5286,10012
+,2591,5044,11564,2522,11852,1814,12191
-,9469,7600,1798,9280,4066,3694,5142
+,8018,6496,7810,9285,2267,2275,3340
+,4650,11508,2677,740,9412,3807,3861
+,7611,2106,2137,5728,1361,7852,4431
-,9776,2273,9382,3022,412,9592,8339
+,8947,5260,12859,6446,10556,5659,2363
+,9255,939,8230,1857,4570,11908,11716
+,3521,7596,10334,1416,11315,3730,1638
-,7641,12867,4085,2928,3906,12143,12128
+,8534,9190,4839,7963,2545,8569,946
+,9285,5612,4306,4406,7746,10091,466
+,3757,8092,11471,12078,5122,10534,6948
-,11989,262,8152,5230,6878,6714,7665
+,9058,7203,10913,8448,9724,10168,7995
+,2564,4790,10616,5592,10243,1207,954
+,12934,12143,278,5799,12792,8156,9194
-,919,7952,1108,7176,10421,2975,7207
+,7034,7105,6966,3686,10262,31,9339
+,6898,3016,11936,3433,1773,3035,10322
+,2096,2609,1971,12150,8225,10369,1270
-,3320,9893,6129,5225,6528,4626,6527
+,5610,2477,3544,3305,6924,7762,4392
+,12760,11854,9743,7192,9494,6027,9299
+,11312,2258,3601,11601,10786,12917,8511
-,6510,5296,7324,4370,10975,12959,7298
+,8860,12284,10649,1750,5897,5181,8487
+,9921,9515,3437,1101,7592,7135,1779
+,7305,6561,11140,1099,12871,6383,9511
-,3085,7931,2466,3016,6599,8136,1491
+,11051,10255,6237,1000,12364,6679,6395
+,4699,6232,6069,11074,5793,4299,5409
+,8871,9955,9007,9275,6515,5558,2374
-,12210,8032,9231,4562,391,6199,1928
+,5938,8602,5352,5884,4586,1491,8459
+,5309,8936,2609,6724,9705,7354,8817
+,9892,9972,6052,6312,5908,4,11530
-,9158,418,11154,1483,12021,1383,11506
+,5215,12924,2367,1612,3692,10777,2556
+,7053,10667,6106,7001,1607,7915,290
+,5586,6348,7406,7284,11000,1995,2446
-,7821,3725,3649,7738,5943,4997,3836
+,9216,12853,8689,9592,1209,10027,2037
+,12730,4749,9690,6610,629,3940,3687
+,4069,9002,716,11806,3738,11481,4376
-,3757,8092,11471,12078,5122,10534,6948
+,2936,12378,2330,9713,8053,8069,1230
+,3334,8289,7061,10281,7260,5190,4815
+,1053,4102,890,3318,3863,8379,430
-,1221,10928,10062,2210,6447,11463,12596
+,7770,6546,6987,2267,8846,2362,11822
+,7921,4610,6357,3286,1137,8449,11267
+,7716,9088,2972,3067,7213,7821,12265
-,10529,10364,2153,7953,3537,7592,3271
+,2056,3795,9377,798,10594,2482,10740
+,4107,2309,11813,3373,8882,2867,6552
+,5427,6134,3681,1789,9985,9006,10466
-,8018,6496,7810,9285,2267,2275,3340
+,11286,5822,6883,7007,5705,9033,11077
+,8442,2386,78,11328,2398,11905,1044
+,1950,9659,10338,12447,3152,4632,11542
-,7770,6546,6987,2267,8846,2362,11822
+,2834,1752,5947,7617,11325,3185,773
+,3228,3864,8708,6689,975,4693,2405
+,492,2936,7194,3757,6221,7011,6147
-,7053,10667,6106,7001,1607,7915,290
+,4588,5290,1957,9038,2309,5163,6562
+,2047,9489,2766,8378,2643,9237,10819
+,12213,10166,2740,831,1548,9807,11281
-,11026,1832,7587,11715,10713,9902,986
+,1831,10618,6405,6864,11723,3487,2957
+,1397,6340,1283,5065,8900,7011,8842
+,191,9291,3130,9268,1284,8721,12605
-,11239,11445,5243,6038,9352,2739,3966
+,12723,9917,8072,10001,4115,6671,12212
+,9435,7200,3319,6528,5046,6332,8675
+,11559,1339,899,4619,174,7144,6396
-,6898,3016,11936,3433,1773,3035,10322
+,4452,3335,3617,11774,2,10097,8409
+,509,9660,6484,6827,12209,5950,10280
+,4945,1749,5132,12497,12662,1493,5806
-,7764,6831,8662,4483,11233,12005,5034
+,5940,10792,8404,11140,6033,2820,1707
+,8603,11256,7141,6479,6708,11742,2920
+,3963,5637,12965,1530,8933,10923,3203
-,1573,11686,2337,8457,10422,4184,6631
+,9588,11031,11135,12841,9408,5856,8292
+,12324,2165,1566,926,8586,262,7944
+,9619,8714,75,10548,338,8327,7900
-,3727,5564,1778,4467,11578,8025,6311
+,510,12572,12287,1381,5089,976,9572
+,3078,11784,8813,2039,4913,5058,7257
+,5643,7186,9183,10694,6381,3660,7705
-,4023,12089,4982,10310,3722,4285,3921
+,2558,902,9275,9829,11280,1984,1320
+,6264,426,7533,8301,811,2727,392
+,4912,4819,10636,7724,10988,5520,4362
-,3005,12252,2963,8000,3328,7606,7409
+,8220,10594,7952,5869,10094,5302,9540
+,4902,11592,4943,9478,1014,1003,12510
+,1345,1908,4601,10925,10051,4485,7377
-,11286,5822,6883,7007,5705,9033,11077
+,2321,7376,9141,6324,11425,12347,9984
+,12721,141,3119,3578,1159,11932,11100
+,4215,11581,12284,3651,12866,9701,10647
-,5215,12924,2367,1612,3692,10777,2556
+,8749,6766,10677,8062,4623,12316,1195
+,5007,1866,659,4377,10348,10259,7662
+,10559,3520,6027,5671,12210,1698,6662
-,7034,7105,6966,3686,10262,31,9339
+,1248,9013,2919,9015,7980,11690,4225
+,11351,11111,2014,9273,2730,11395,9588
+,4376,1764,3981,9289,11310,3350,7333
-,4402,6850,9573,2696,7427,6717,986
+,11577,6699,2284,2881,8733,9131,5736
+,6544,11598,7631,10106,5932,1965,3640
+,1723,11528,6747,6039,10008,3234,10217
-,6282,6270,4203,377,10128,4630,11429
+,9073,7194,5676,144,5168,277,9045
+,6009,7525,9251,7594,10458,7470,3478
+,9707,2844,3943,1603,1248,2931,5094
-,11480,8579,350,4660,4241,411,2434
+,12664,3462,9088,6132,4014,10694,7363
+,1500,4111,8214,7535,3533,8974,5854
+,11167,4682,7999,514,5693,11082,9587
-,12694,5304,3799,11491,11645,8879,9589
+,8885,12337,5685,1063,2901,8737,9039
+,6714,4048,6177,1389,312,309,12242
+,2808,3446,5507,5493,829,625,4653
-,4182,7794,6346,2362,6113,195,6025
+,4922,4248,3878,847,6421,10497,5407
+,10714,12470,7280,4277,9962,5189,8044
+,7133,9156,12633,6860,12300,10497,12422
-,8534,9190,4839,7963,2545,8569,946
+,12251,667,3362,7774,4523,8701,12990
+,1281,461,11000,6706,10137,480,6401
+,7177,4067,4084,9464,3297,5347,6197
-,9892,9972,6052,6312,5908,4,11530
+,8303,1307,9462,7410,9833,7349,4725
+,9638,10215,3393,10218,866,10736,2378
+,6084,8593,12607,2538,11732,4594,11654
-,11559,1339,899,4619,174,7144,6396
+,6651,8569,4277,2910,3320,3939,8163
+,3596,3615,10045,2658,5195,3684,3551
+,5447,7511,7831,9836,9298,4694,6181
-,7091,1034,5848,5940,4050,10282,12889
+,9914,12217,11611,12013,10530,3088,11766
+,11422,9224,9671,10194,12118,9762,9406
+,3098,10217,10748,1571,8658,753,4209
-,5938,8602,5352,5884,4586,1491,8459
+,963,7869,1749,6164,12445,1267,8621
+,12788,3233,2401,4400,7278,5435,4440
+,5117,10605,12806,11774,7560,10591,4859
-,1225,5032,7508,10166,9848,5800,1807
+,10588,2704,8509,7211,7803,1227,10512
+,9107,5367,10332,3355,3320,595,983
+,11213,11870,1911,6133,11355,6039,6159
-,9070,37,3539,11131,11656,6746,9557
+,12397,5286,3597,11702,10394,7496,8597
+,10913,7544,8240,8182,8075,10457,11543
+,2920,11810,3211,7250,5533,3451,7358
-,12324,2165,1566,926,8586,262,7944
+,563,469,2407,10171,2555,5839,5996
+,8071,2507,639,3589,4295,911,5506
+,1963,7161,4068,2479,3063,5955,5729
-,6139,10652,926,7169,12981,10368,10855
+,8865,11404,8740,3707,5660,5587,8956
+,8456,11414,4001,3710,10484,12383,9723
+,4158,10617,1756,3375,10973,7639,4794
-,12934,12143,278,5799,12792,8156,9194
+,5605,10885,8427,6602,3841,6183,7027
+,1578,6355,6683,4006,11266,10866,11999
+,12390,2018,5373,10253,10718,10503,9289
-,9588,11031,11135,12841,9408,5856,8292
+,11720,12367,8442,1704,2084,8030,2460
+,1659,3867,1800,8176,10038,840,12928
+,10653,3713,7159,3305,2197,99,3746
-,4922,4248,3878,847,6421,10497,5407
+,5214,6397,508,2640,8918,6175,9568
+,11370,3540,9126,3903,2869,3974,8525
+,11751,4923,3589,96,12379,8087,9908
-,5584,9452,3,7628,10575,2246,9782
+,11640,4678,6402,9254,3277,10118,3074
+,3775,8463,8029,3601,7780,7296,3468
+,8215,523,4468,9005,6704,1079,5712
-,1723,11528,6747,6039,10008,3234,10217
+,838,833,2233,2166,6617,12460,4686
+,11585,8261,2136,10147,1304,1709,2645
+,3126,4071,11528,9991,1323,155,7741
-,7016,2253,8077,5554,9908,6491,5110
+,12205,10563,7579,10257,118,8743,5352
+,4161,12920,4816,11589,4909,873,7950
+,5711,5138,12532,125,1994,11766,11449
-,2591,5044,11564,2522,11852,1814,12191
+,1618,12348,1665,10577,2570,7043,8855
+,4235,3162,8998,10676,3797,9367,4665
+,712,1471,2153,11273,10011,412,6783
-,8059,11212,577,10367,10513,2058,4266
+,11525,7259,12259,2184,4196,5827,9362
+,10750,10238,10574,2111,1045,4731,10059
+,2687,3043,2439,1232,11747,8731,11557
-,12339,6359,2381,9264,5128,4586,5534
+,9757,2373,6342,5613,3550,707,6728
+,8030,589,2357,9103,2963,10613,4883
+,6121,6980,12951,11422,7953,9979,8423
-,1831,10618,6405,6864,11723,3487,2957
+,10381,11666,8009,3429,10270,465,5584
+,6473,306,8810,4212,6208,5699,10770
+,132,6246,7996,4761,299,8489,11313
-,9255,939,8230,1857,4570,11908,11716
+,10959,8183,155,9391,7120,11198,1789
+,3186,1949,10384,10977,10242,9235,3788
+,7783,10507,179,4349,801,11221,7967
-,3596,3615,10045,2658,5195,3684,3551
+,6577,7062,5782,10801,4478,11995,1779
+,7971,6864,12004,4073,166,2,5509
+,2235,1232,4280,9031,9890,1307,8852
-,11585,8261,2136,10147,1304,1709,2645
+,7973,8270,2945,9056,5306,5956,8786
+,3659,11241,7589,4716,7227,7889,4768
+,2757,2963,7664,3387,4124,5499,2186
-,9283,6163,120,2609,8256,10732,8263
+,6290,6846,3689,2180,7112,1149,12088
+,11075,9975,3314,11099,11828,10589,11785
+,9930,835,2963,8013,3880,2035,668
-,11640,4678,6402,9254,3277,10118,3074
+,5953,5844,2158,2441,4620,5303,4871
+,8316,9559,1456,6589,11024,11003,612
+,3435,10528,10168,3559,10070,689,7594
-,12213,10166,2740,831,1548,9807,11281
+,4294,8582,6555,5506,5405,1589,3564
+,8492,12744,4568,11446,7972,5083,12713
+,4079,7614,9190,11656,4426,9280,4454
-,6009,7525,9251,7594,10458,7470,3478
+,3180,5734,10039,702,8468,5813,10086
+,1933,98,2878,328,10949,755,3161
+,3554,6918,3771,4881,450,12965,7844
-,8109,11961,9567,394,7394,7941,3906
+,7526,547,3506,6418,5395,3354,3574
+,1357,7314,11454,8282,6974,8763,12127
+,11986,315,5123,5598,3862,3847,296
-,12730,4749,9690,6610,629,3940,3687
+,11668,5498,676,2073,4433,2480,12932
+,4566,202,10397,441,8900,4231,12165
+,2691,9224,7207,9373,6148,755,1235
-,10588,2704,8509,7211,7803,1227,10512
+,4838,6303,10757,4572,5618,4569,560
+,11742,5436,4160,7346,1716,7030,2683
+,5967,8473,8455,499,5402,3606,7648
-,10913,7544,8240,8182,8075,10457,11543
+,1144,6384,9621,406,4851,1825,76
+,7232,9487,5391,11849,1056,6796,5864
+,11293,5987,4366,7467,9568,6525,5784
-,11422,9224,9671,10194,12118,9762,9406
+,9116,1000,2352,10978,9173,8968,4297
+,540,1898,5131,12914,811,5423,3980
+,9031,12114,11991,8686,7248,5584,3366
-,4294,8582,6555,5506,5405,1589,3564
+,4723,11409,5049,1616,2142,4388,8491
+,2532,8133,10018,4717,5005,6271,6102
+,4315,12610,11807,5940,12414,10788,3815
-,10961,10981,9588,11484,4892,11131,9707
+,11230,10012,9906,3180,5991,3705,1664
+,11995,10300,4144,9636,971,11503,3356
+,2187,7422,9862,9,10609,3967,905
-,4531,8544,5507,9366,4139,1755,6261
+,4051,11990,1196,10805,9272,33,5197
+,8016,10873,7424,4915,6079,9112,8357
+,1615,12701,3410,8924,6147,10898,10369
-,8116,5164,6669,9780,4306,5711,1350
+,9970,463,8833,2098,7581,8090,12730
+,7776,5267,7819,3602,10675,6619,6265
+,9934,12541,8942,8200,7913,5702,4775
-,8721,7905,10587,1866,6688,6013,4371
+,10270,6919,7187,9045,102,10100,12755
+,270,12378,10321,5533,10000,2872,554
+,1727,8986,68,2640,3978,10049,12349
-,4433,3421,4702,8080,2787,5403,10710
+,12671,2405,11882,11795,524,11231,2801
+,10116,8763,648,7873,6727,2926,6064
+,7511,8624,12139,1221,11245,4488,5445
-,1689,12062,11210,2920,5414,6062,12815
+,6016,5509,807,12220,2706,682,7498
+,9705,11951,11432,5186,5773,4508,3251
+,1863,1251,4406,1138,6732,2203,746
-,11072,4539,7963,502,2291,7476,999
+,5083,2359,2649,203,834,11502,6659
+,5050,3900,2511,3584,1772,7143,9107
+,10316,10919,4439,7564,10527,5590,4678
-,3534,3729,3231,11317,11188,11643,4074
+,7598,3827,9001,9132,11253,11749,6016
+,7343,4337,172,5690,4010,12132,2945
+,2722,3813,1014,5036,11049,6991,2584
-,11995,10300,4144,9636,971,11503,3356
+,258,8605,9702,4889,10398,11367,4268
+,8701,6791,2177,2085,6285,10268,10293
+,6604,12436,12096,304,4864,4723,9500
-,3565,8941,10354,7895,4112,11482,3206
+,2283,12106,5288,4846,12209,9216,6225
+,3437,4798,11013,1345,2632,2650,2896
+,7491,10698,7966,3893,5535,10021,11148
-,4588,5290,1957,9038,2309,5163,6562
+,347,222,5218,8015,10636,5692,587
+,372,5237,7599,9319,9874,8585,1671
+,4156,11874,3923,3886,839,12686,764
-,372,5237,7599,9319,9874,8585,1671
+,10445,4185,5647,994,10451,11430,9620
+,1858,9605,4500,710,3040,4508,3880
+,2520,1127,4575,1379,2642,2742,9721
-,3435,10528,10168,3559,10070,689,7594
+,7046,1003,9073,3358,6738,11625,4789
+,3602,7835,7435,8316,10537,3802,6489
+,11791,10567,394,7703,11533,9213,10712
-,7901,1007,4229,5649,7057,1396,6612
+,9586,4718,1454,9773,7548,5993,11239
+,2994,8904,12642,154,10937,5940,7329
+,2916,9345,7753,2518,769,6164,3008
-,5643,7186,9183,10694,6381,3660,7705
+,5682,4002,10057,2990,8384,273,7127
+,8377,8250,3440,8212,2907,2188,10897
+,7524,3185,9709,2455,5293,10147,12455
-,7973,8270,2945,9056,5306,5956,8786
+,8301,8011,5718,12094,8652,243,10864
+,7513,1533,10520,8196,2457,8397,8791
+,4523,8120,7658,4572,1670,7854,9590
-,1281,461,11000,6706,10137,480,6401
+,1001,9889,7315,6163,4064,3649,9688
+,4282,2874,6878,8965,8500,5832,12444
+,2044,2536,7617,2023,3433,10718,4568
-,6290,6846,3689,2180,7112,1149,12088
+,3849,9333,12475,9862,9081,8245,5828
+,11188,3639,6376,1076,10297,4260,2930
+,7132,10849,10726,4521,3828,575,12751
-,10381,11666,8009,3429,10270,465,5584
+,2557,71,6150,7256,3756,9975,12999
+,4556,3523,10674,10451,2361,5615,10015
+,1266,616,3137,10618,8172,164,68
-,7232,9487,5391,11849,1056,6796,5864
+,7342,7307,12535,5542,7676,8460,7262
+,11020,12875,12154,8093,1909,215,11624
+,8078,3753,12246,11771,2662,2458,6347
-,2096,2609,1971,12150,8225,10369,1270
+,7597,2017,2078,2153,4465,9624,4282
+,866,8295,12608,11434,807,12132,4197
+,11142,4803,422,8845,2274,8801,4588
-,8301,8011,5718,12094,8652,243,10864
+,7975,1575,11002,7039,340,6904,7467
+,11639,1629,9223,6587,12293,8804,10826
+,12691,3292,2587,1031,9863,2432,5700
-,9757,2373,6342,5613,3550,707,6728
+,806,5918,702,7693,106,8971,6764
