OP,A1,A2,A3,A4,A5,A6,A7
+,6056,1478,11102,6640,9200,9625,3356
+,5700,10379,5478,9176,11541,2285,8137
-,6909,6644,9049,3634,1727,7739,5800
+,6155,10929,3706,12369,2968,3889,3605
+,11654,2366,10381,4625,4603,3763,4101
-,3504,6377,424,12887,5752,8988,4457
+,2633,1339,10426,6818,6311,8964,12305
+,309,11651,4418,647,5910,3968,10567
-,3477,5923,10009,12176,5322,11866,395
+,792,9473,1214,3335,8341,2488,8068
+,5331,9949,12207,5685,2254,12367,1182
-,5406,2926,9649,6656,5989,5183,3292
+,10010,3457,6823,12543,11357,8908,9160
+,95,10354,11009,12147,2318,6397,1745
-,12450,7798,881,6800,9708,469,12148
+,7532,12867,7817,12095,2607,9608,11355
+,7480,12688,6880,5102,11307,9691,6135
-,95,10354,11009,12147,2318,6397,1745
+,9722,10542,7127,8333,7688,2964,6880
+,9464,2071,2608,12438,2235,7478,2485
-,6888,2069,6659,10514,144,6354,4523
+,6790,8356,9504,9057,11695,1209,8175
+,11768,1027,8274,4721,6910,8448,11130
-,10010,3457,6823,12543,11357,8908,9160
+,2811,4701,11879,9748,8168,10951,1366
+,9886,10055,9588,2061,1021,8594,9872
-,11271,8324,4013,11601,5886,3284,1439
+,632,8685,4398,2320,10668,1829,3947
+,9964,2405,9116,7624,1692,12903,3491
-,2633,1339,10426,6818,6311,8964,12305
+,3486,4791,5327,7160,3580,2283,2942
+,5039,7915,5619,5401,5622,7291,11651
-,7463,12893,7941,8484,3051,12076,2325
+,3189,8824,9997,4768,8485,12407,4693
+,9409,9523,1855,7080,10484,4712,12719
-,7871,317,5951,11706,9651,7998,42
+,6344,4656,4806,822,136,3163,8802
+,12582,9590,11952,8441,8903,4687,9127
-,2171,7610,5795,11214,2824,8596,9683
+,12369,9593,1420,2561,7041,11534,8128
+,9668,11991,10970,12518,7972,802,2033
-,6155,10929,3706,12369,2968,3889,3605
+,984,3402,8784,12134,8344,3682,1523
+,3356,5010,10618,11251,1608,6134,8165
-,437,7638,7009,7999,5593,1270,3746
+,7459,1469,2342,6132,2286,8319,10748
+,3183,9887,4319,5494,5943,9125,12322
-,9886,10055,9588,2061,1021,8594,9872
+,297,9993,3593,9560,3200,3546,4345
+,10890,5527,12679,10955,4638,1296,1563
-,12369,9593,1420,2561,7041,11534,8128
+,922,6015,8020,5110,9044,3902,561
+,12432,12797,1217,6312,5388,11095,11980
-,7423,19,7974,3012,11844,7724,5629
+,12274,6417,6737,11531,10409,12288,5183
+,8588,7067,5525,10804,6332,1032,2982
-,11436,4894,5990,6029,12730,2304,10398
+,4511,10509,5953,3169,7965,10108,3195
+,3827,6972,577,1166,1421,3640,4098
-,477,1365,4368,12780,7658,6845,4327
+,6870,487,6505,10094,7333,8602,4328
+,600,7130,9817,4974,777,1006,3806
-,9466,5340,8155,747,4101,9996,4770
+,3490,5653,7423,4537,570,8241,6603
+,9256,7827,9702,3746,12489,6684,4623
-,9862,6136,2725,12460,6165,1650,4042
+,4268,5234,5174,1414,11726,2183,1485
+,11413,4638,9948,2672,7017,5045,5469
-,553,10521,8797,4425,10485,11335,8331
+,1979,8644,3005,10252,11983,5394,2995
+,3707,9237,2312,11379,12971,1200,9495
-,571,11437,11280,3550,2486,4476,4766
+,5314,4493,6395,3751,2742,12816,6221
+,3046,9886,4296,11880,1901,9688,6865
-,1569,12225,7733,3744,11388,10815,4305
+,12330,4313,4961,964,7122,3447,1997
+,12021,10302,6567,3897,12614,12094,3094
-,9668,11991,10970,12518,7972,802,2033
+,6766,8263,2029,8488,12481,8106,9768
+,12489,7293,9641,11420,9701,3569,6870
-,525,10374,3975,6028,10512,3765,8094
+,6033,2889,12962,7992,3464,500,4816
+,10699,6803,7486,6579,12561,12390,6579
-,7186,9322,4862,3318,2621,2163,3907
+,5241,10348,7701,5566,3870,6689,9376
+,6517,11009,664,3832,3556,775,8226
-,3707,9237,2312,11379,12971,1200,9495
+,1760,673,5605,9840,9970,948,11569
+,2,4203,729,9361,941,1572,9765
-,1760,673,5605,9840,9970,948,11569
+,8247,7128,2643,777,7026,2194,11627
+,11687,5926,3254,11076,8004,3390,3311
-,8588,7067,5525,10804,6332,1032,2982
+,4514,10344,6795,4091,9512,2608,9949
+,12881,5539,9211,1940,9354,7894,7217
-,12489,7293,9641,11420,9701,3569,6870
+,4748,4330,3676,3563,941,10769,1950
+,3180,12231,10116,6755,9445,774,7341
-,12432,12797,1217,6312,5388,11095,11980
+,4774,823,6497,5817,6573,4121,8090
+,12947,5022,566,4124,622,11775,11118
-,922,6015,8020,5110,9044,3902,561
+,2988,6864,4768,4347,9500,5871,12470
+,3114,5596,4237,2173,367,428,6364
-,3189,8824,9997,4768,8485,12407,4693
+,6361,8329,6368,3756,8990,11271,9997
+,7286,199,52,392,11886,5473,10863
-,6033,2889,12962,7992,3464,500,4816
+,1725,4356,4485,2408,3382,736,3865
+,6347,7667,8210,1348,2886,10231,3005
-,9464,2071,2608,12438,2235,7478,2485
+,5233,6074,9734,11883,10643,6847,7777
+,3558,6047,5616,10087,575,6189,6887
-,509,4240,10377,8299,5637,11784,4614
+,3784,10428,9062,6949,2563,2413,4249
+,6318,10128,10954,5064,6268,4970,347
-,6347,7667,8210,1348,2886,10231,3005
+,12821,12545,1630,4428,12826,4632,10245
+,11495,8905,3046,3035,9986,1269,1751
-,3114,5596,4237,2173,367,428,6364
+,2383,12762,7399,11219,8542,1527,6834
+,12157,8018,743,1622,7949,6860,5515
-,9722,10542,7127,8333,7688,2964,6880
+,9780,7409,4528,6319,1971,709,1725
+,3154,12641,7808,10553,7048,5228,4103
-,11687,5926,3254,11076,8004,3390,3311
+,2936,9835,953,12664,10941,12899,3136
+,4682,3751,8782,7175,8150,6147,8248
-,5233,6074,9734,11883,10643,6847,7777
+,593,7277,2396,12192,7643,6563,9155
+,2026,4605,11773,2776,11526,4663,6523
-,7532,12867,7817,12095,2607,9608,11355
+,10794,5202,4563,725,3071,6440,9494
+,9298,2259,2978,3890,1491,1909,6988
-,6790,8356,9504,9057,11695,1209,8175
+,3680,4425,12150,8936,498,6356,11767
+,3288,10051,6257,2651,2168,1909,12600
-,2,4203,729,9361,941,1572,9765
+,9422,254,12611,886,3433,6664,6397
+,12713,11341,10866,11723,4791,5020,614
-,792,9473,1214,3335,8341,2488,8068
+,12646,8447,6629,1794,1920,12204,3686
+,9102,10676,2938,1983,5138,8452,8197
-,7480,12688,6880,5102,11307,9691,6135
+,3581,9925,6204,2636,1117,5817,12067
+,2734,4120,677,3834,7272,11756,576
-,12895,9394,12558,4108,8438,6863,1241
+,10336,12806,5144,413,8386,2350,1597
+,7228,7722,11621,8495,2962,4730,2844
-,4682,3751,8782,7175,8150,6147,8248
+,10538,1777,11877,9189,2571,1480,9055
+,8966,629,11998,10123,10645,5406,920
-,5331,9949,12207,5685,2254,12367,1182
+,12045,8030,11535,7789,171,4068,1413
+,5834,11280,764,11557,12821,9624,7049
-,3784,10428,9062,6949,2563,2413,4249
+,1874,6072,5210,7084,4114,755,2657
+,8128,6161,10170,1017,2625,1475,238
-,11768,1027,8274,4721,6910,8448,11130
+,7876,4372,115,2506,10781,3785,2660
+,6491,954,8813,8959,12939,11034,1971
-,12021,10302,6567,3897,12614,12094,3094
+,4785,11091,10760,5679,2648,2568,5142
+,3777,3523,7783,11777,2719,1977,7813
-,3046,9886,4296,11880,1901,9688,6865
+,4895,9233,1137,7263,10120,8168,708
+,7124,6619,2460,9549,5101,6729,2193
-,1979,8644,3005,10252,11983,5394,2995
+,10417,2883,9549,8399,3771,6534,446
+,6285,10622,11133,9718,11539,2837,8122
-,3581,9925,6204,2636,1117,5817,12067
+,8967,10158,4548,12650,3070,8006,10842
+,12659,4400,12346,882,1680,9788,11496
-,6285,10622,11133,9718,11539,2837,8122
+,12584,9612,11076,10921,7754,4500,4748
+,4190,6266,4227,8221,10452,3431,5523
-,600,7130,9817,4974,777,1006,3806
+,11146,5995,497,212,5383,9066,10021
+,10072,11696,623,7533,10530,63,2562
-,9780,7409,4528,6319,1971,709,1725
+,5998,9840,1261,4003,6690,4918,6283
+,12413,11362,10469,6462,8313,1361,2976
-,5314,4493,6395,3751,2742,12816,6221
+,9379,273,8383,2393,1151,11444,6357
+,6268,6415,3202,11827,8342,5735,2103
-,7124,6619,2460,9549,5101,6729,2193
+,7789,12519,6734,1407,5550,2606,11354
+,4365,4140,3052,1461,8356,7349,3935
-,12821,12545,1630,4428,12826,4632,10245
+,5414,11725,1320,12186,11546,8100,8968
+,2519,1051,1332,7620,12003,6029,6249
-,11413,4638,9948,2672,7017,5045,5469
+,8649,7470,6461,9402,1963,5111,10174
+,1771,4278,8121,600,10682,10001,6546
-,3154,12641,7808,10553,7048,5228,4103
+,9451,4507,8817,10264,9790,6536,4202
+,11655,10574,8579,3894,6256,11276,9158
-,12330,4313,4961,964,7122,3447,1997
+,9873,1880,3495,11739,7975,12568,11943
+,135,4625,4422,9436,3772,724,4899
-,12646,8447,6629,1794,1920,12204,3686
+,3598,9764,3076,12089,2272,9425,3708
+,6194,4890,2103,8550,925,775,529
-,12881,5539,9211,1940,9354,7894,7217
+,891,1259,4193,1096,9474,10276,4831
+,9197,7597,563,3132,5281,4223,5382
-,681,5501,7119,11233,8309,3127,1608
+,4538,710,12722,231,988,7466,1798
+,12929,12452,6258,3120,8002,5933,12436
-,2519,1051,1332,7620,12003,6029,6249
+,9504,26,6652,2350,5231,7507,1739
+,12674,5720,8115,3600,6180,8791,7487
-,5162,7710,1583,8404,7135,1104,6615
+,7244,1652,639,7227,5141,296,5219
+,785,12184,2217,12783,946,7254,5919
-,2383,12762,7399,11219,8542,1527,6834
+,11291,10581,5614,2829,12975,4834,8714
+,6055,8846,3745,664,9978,8207,12391
-,2936,9835,953,12664,10941,12899,3136
+,3815,4361,4234,1004,3397,1326,5982
+,11418,10121,4495,5113,5205,7502,4396
-,1725,4356,4485,2408,3382,736,3865
+,12913,5649,9312,7110,11258,11248,2707
+,6125,6059,12680,2577,6772,6408,8906
-,2988,6864,4768,4347,9500,5871,12470
+,1092,9538,4427,1900,10899,12229,7059
+,8847,1077,3761,1565,11999,11412,2107
-,5700,10379,5478,9176,11541,2285,8137
+,130,1560,766,10815,12286,766,8045
+,10077,964,10752,3773,536,9330,1630
-,10336,12806,5144,413,8386,2350,1597
+,10635,10396,10863,961,355,11216,9060
+,4757,6387,10582,5488,7048,6806,10221
-,631,3433,1913,9629,4663,11662,6109
+,1370,3933,9514,2799,7835,3953,3834
+,10885,6440,10750,3931,12278,11189,2752
-,135,4625,4422,9436,3772,724,4899
+,12556,12491,8864,412,2515,7363,8409
+,1244,5906,12823,11433,3058,12647,2884
-,4087,1516,1493,378,975,4420,7694
+,10050,5889,8573,5776,2632,716,9957
+,407,4862,10208,143,4019,10466,3208
-,11655,10574,8579,3894,6256,11276,9158
+,6070,8731,5917,8777,12679,11952,6127
+,1007,12346,4512,5339,7087,3464,7193
-,10885,6440,10750,3931,12278,11189,2752
+,2320,9671,4522,9806,10801,5663,9097
+,12173,7286,4058,5884,7462,5786,3752
-,5834,11280,764,11557,12821,9624,7049
+,4223,10308,6999,4477,57,6463,8980
+,9568,841,2555,12619,7400,5421,12284
-,9102,10676,2938,1983,5138,8452,8197
+,9696,1317,9792,6484,3105,12511,9421
+,3536,3723,3797,12331,6481,12036,7278
-,8390,1713,6009,8025,8807,12014,11310
+,10272,1000,11932,11275,5507,1551,8125
+,73,608,5487,6134,2368,2724,12154
-,3180,12231,10116,6755,9445,774,7341
+,8800,4096,7146,10062,3000,4741,5587
+,11381,6351,763,10760,8077,2935,5898
-,10890,5527,12679,10955,4638,1296,1563
+,4086,3141,2574,368,2765,6641,11888
+,1380,12384,9144,11025,5682,7815,7278
-,10538,1777,11877,9189,2571,1480,9055
+,10957,9583,1953,2597,12889,3153,11413
+,10503,9045,1308,5707,11366,396,4773
-,407,4862,10208,143,4019,10466,3208
+,6414,6018,11643,11839,10993,2134,5989
+,5191,7795,738,11946,11086,8458,6957
-,3490,5653,7423,4537,570,8241,6603
+,3940,12479,2725,6157,2515,2984,6594
+,9693,5605,8935,8074,12131,5654,3958
-,12913,5649,9312,7110,11258,11248,2707
+,2528,8336,4000,2892,10861,10141,755
+,6519,11952,6598,6942,2805,11183,2095
-,6766,8263,2029,8488,12481,8106,9768
+,5957,7761,8906,992,10982,11084,12785
+,11783,5901,3014,12423,2689,8499,2981
-,6125,6059,12680,2577,6772,6408,8906
+,11323,6522,4446,3989,11658,10169,583
+,6521,7147,6611,964,2065,1610,5934
-,12659,4400,12346,882,1680,9788,11496
+,8540,5448,6696,2863,8674,12088,4992
+,8960,2797,7607,4771,11629,8666,5932
-,5957,7761,8906,992,10982,11084,12785
+,5121,7624,11996,11666,3555,935,11042
+,3528,9712,5090,9100,9846,2623,9810
-,10794,5202,4563,725,3071,6440,9494
+,8183,3378,5294,8054,393,12252,4721
+,8887,7516,3386,2771,2942,9047,6865
-,984,3402,8784,12134,8344,3682,1523
+,4091,1939,2430,2251,2651,5289,6743
+,10612,9621,7243,1258,6454,2403,7770
-,3680,4425,12150,8936,498,6356,11767
+,10776,8807,3761,2459,3311,9303,8478
+,1493,8533,3641,1389,6623,8633,11873
-,4511,10509,5953,3169,7965,10108,3195
+,877,465,12134,10476,2879,1199,8429
+,1071,1876,1546,8058,1726,457,8612
-,10417,2883,9549,8399,3771,6534,446
+,2802,3108,6323,12798,1332,5497,4583
+,2392,7090,6368,8334,10384,212,4622
-,12674,5720,8115,3600,6180,8791,7487
+,9334,2837,4292,2458,6325,10408,4047
+,5457,8005,4315,5330,5914,11632,7654
-,12639,513,6774,4251,339,7000,720
+,5636,10454,9902,1311,1710,7463,9010
+,2263,946,7807,4624,5645,12297,11342
-,10957,9583,1953,2597,12889,3153,11413
+,9732,5847,10757,8595,5091,1518,6705
+,5118,9672,9238,6324,2192,599,9246
-,6056,1478,11102,6640,9200,9625,3356
+,12874,7552,6138,9261,7795,6134,9511
+,2103,6145,839,6195,6832,254,2011
-,8967,10158,4548,12650,3070,8006,10842
+,1512,6719,7091,11346,6726,10505,2790
+,11752,2434,12822,2154,5627,7398,9990
-,4785,11091,10760,5679,2648,2568,5142
+,2728,3656,4663,12255,488,10587,4204
+,5493,4756,5651,3104,1472,9559,501
-,1874,6072,5210,7084,4114,755,2657
+,10640,12501,2917,11141,3643,2648,4257
+,11620,9232,12771,9534,826,1306,12475
-,6519,11952,6598,6942,2805,11183,2095
+,6971,1972,1386,12433,37,9824,3016
+,3651,1863,8077,7028,9308,6208,9579
-,5414,11725,1320,12186,11546,8100,8968
+,8060,12152,6940,2607,1172,8501,5159
+,4304,508,12248,12202,12590,327,11483
-,4748,4330,3676,3563,941,10769,1950
+,8797,3596,1437,520,7043,7108,2247
+,471,6947,2750,5444,4296,12241,5486
-,6194,4890,2103,8550,925,775,529
+,10613,4226,12219,73,258,9965,11253
+,5007,5269,7109,9578,694,11491,7599
-,2802,3108,6323,12798,1332,5497,4583
+,1970,5151,8796,2566,758,1187,10476
+,6516,5267,950,986,9111,267,7305
-,8800,4096,7146,10062,3000,4741,5587
+,10289,8319,7896,11020,4867,7603,10607
+,4035,4774,11706,7879,5024,5964,6451
-,1512,6719,7091,11346,6726,10505,2790
+,11567,1104,6822,3590,7117,8106,5117
+,10152,2080,9501,3276,967,7461,7811
-,5121,7624,11996,11666,3555,935,11042
+,9028,3051,7800,1641,11611,9318,10214
+,4078,628,11166,5594,2545,2212,1033
-,9334,2837,4292,2458,6325,10408,4047
+,5763,8180,1540,2884,1849,4383,5464
+,9242,8754,11018,9267,12412,6605,4610
-,6516,5267,950,986,9111,267,7305
+,9021,7378,9794,3985,5720,7622,10836
+,12585,5040,11315,5423,8162,1862,2741
-,10077,964,10752,3773,536,9330,1630
+,235,6952,7004,4287,4514,7558,12879
+,636,284,2573,5182,2764,6655,4415
-,4304,508,12248,12202,12590,327,11483
+,4153,3918,3132,11262,10622,9142,10943
+,7365,11267,11799,5349,1354,1384,1322
-,11146,5995,497,212,5383,9066,10021
+,11289,4383,11911,5620,4089,11575,11618
+,11989,11647,12908,330,8254,5056,6700
-,1493,8533,3641,1389,6623,8633,11873
+,4847,1573,12761,10853,4912,1144,8855
+,1947,8737,1901,11422,11674,12921,4792
-,10072,11696,623,7533,10530,63,2562
+,2685,7358,7440,12198,6707,9794,12682
+,4877,1092,12682,3832,498,7574,10063
-,3827,6972,577,1166,1421,3640,4098
+,3560,2305,4321,12595,5214,3376,9866
+,9037,3932,3211,11041,4950,2174,6462
-,1092,9538,4427,1900,10899,12229,7059
+,2190,1601,9879,6540,11306,1258,10342
+,2180,11428,2605,3536,6024,8150,10439
-,1244,5906,12823,11433,3058,12647,2884
+,5482,924,2446,9116,1467,1524,11743
+,684,4378,12963,11753,12101,5786,1371
-,11989,11647,12908,330,8254,5056,6700
+,10174,7629,1278,7252,5300,1062,11302
+,6712,9913,1839,8051,9376,11390,9702
-,3536,3723,3797,12331,6481,12036,7278
+,3080,10367,3350,3069,9537,1051,8946
+,7818,2055,324,12744,11431,12690,167
-,2026,4605,11773,2776,11526,4663,6523
+,4864,2929,6165,1196,9609,2448,6991
+,5139,3308,9566,3560,10546,3280,2273
-,4035,4774,11706,7879,5024,5964,6451
+,9970,8808,707,4217,2987,5759,5231
+,9467,277,11653,7036,7713,8611,4706
-,4153,3918,3132,11262,10622,9142,10943
+,5528,10140,11567,401,2762,7878,3669
+,2282,7986,9263,10283,11906,1879,10668
-,5191,7795,738,11946,11086,8458,6957
+,2326,5070,11456,9828,10927,5725,8988
+,2150,962,9919,12764,8902,9403,8552
-,6344,4656,4806,822,136,3163,8802
+,3372,10133,8295,6733,40,11987,5595
+,9959,348,614,2652,7033,3508,108
-,1071,1876,1546,8058,1726,457,8612
+,11899,9569,11337,1374,9977,5150,6181
+,11215,3582,6391,5555,1724,10825,1093
-,11289,4383,11911,5620,4089,11575,11618
+,8795,181,11253,5907,7345,7341,7144
+,8246,3877,2788,11945,3087,12790,10089
-,7876,4372,115,2506,10781,3785,2660
+,5780,5401,5164,6107,9150,10894,3928
+,7893,2342,7558,1711,10861,12945,8725
-,6521,7147,6611,964,2065,1610,5934
+,2756,4325,9729,11931,3948,12831,4763
+,7965,12338,11814,6152,12310,4015,4236
-,4864,2929,6165,1196,9609,2448,6991
+,7653,11772,2437,9747,12564,10705,8525
+,5543,6520,6299,5308,360,11396,9703
-,5493,4756,5651,3104,1472,9559,501
+,3019,6631,9519,10071,6742,8407,12955
+,4889,2721,868,7581,1056,12538,3135
-,2180,11428,2605,3536,6024,8150,10439
+,5260,5678,8651,11210,10966,9157,11288
+,1739,314,919,4069,2720,2211,5132
-,2734,4120,677,3834,7272,11756,576
+,2041,12108,5924,11134,8117,1637,9795
+,11120,4493,6663,7462,9758,5687,9797
-,891,1259,4193,1096,9474,10276,4831
+,6520,1082,56,4146,11042,12387,5432
+,12095,3819,11701,7805,4566,11929,377
-,3486,4791,5327,7160,3580,2283,2942
+,4808,735,6096,7563,3430,9893,145
+,3833,12560,9928,7744,7954,11266,4428
-,3356,5010,10618,11251,1608,6134,8165
+,2378,7088,12151,10322,11629,8172,7674
+,3409,10543,376,788,9256,2134,3914
-,9936,10096,6086,11368,8974,1569,11891
+,12137,9395,6733,6419,5951,2168,8509
+,9444,11744,1280,9009,6514,1594,10623
-,12947,5022,566,4124,622,11775,11118
+,6146,5931,12106,7599,7389,8398,5795
+,2484,12798,832,7748,4766,5695,7331
-,4808,735,6096,7563,3430,9893,145
+,5384,3187,630,11615,7532,11990,11318
+,7288,2158,12480,10365,8426,3259,11708
-,4086,3141,2574,368,2765,6641,11888
+,3742,9734,11423,127,4762,2512,1987
+,9843,678,12422,12657,4348,12167,10979
-,10640,12501,2917,11141,3643,2648,4257
+,11602,213,1172,1853,7944,5762,11309
+,699,5118,1008,7166,5527,3531,2084
-,5763,8180,1540,2884,1849,4383,5464
+,10675,1337,1633,9145,6935,2003,11629
+,9692,2942,7490,3654,5513,8300,10086
-,4190,6266,4227,8221,10452,3431,5523
+,1061,6046,5527,4098,3342,1319,4224
+,4466,9154,4025,6932,6100,8164,6212
-,7286,199,52,392,11886,5473,10863
+,6959,12699,12063,1563,3908,10357,9140
+,11026,10536,9461,3213,2974,39,3019
-,684,4378,12963,11753,12101,5786,1371
+,150,12717,10338,7144,7803,12379,4572
+,6572,10955,4329,9886,12633,2280,7995
-,785,12184,2217,12783,946,7254,5919
+,6496,846,7569,5440,12742,1859,6884
+,11094,2801,11596,2758,447,1715,7493
-,2282,7986,9263,10283,11906,1879,10668
+,9377,1877,776,151,2819,12020,6295
+,9239,6127,2833,3361,8796,1897,8102
-,5998,9840,1261,4003,6690,4918,6283
+,4401,7080,4827,516,9989,8610,11808
+,11533,6927,2594,4601,1392,10206,12940
-,632,8685,4398,2320,10668,1829,3947
+,1641,10529,1151,4662,8144,461,2417
+,638,10547,11762,12673,11492,11209,12699
-,1007,12346,4512,5339,7087,3464,7193
+,11098,4668,10729,6649,11853,4418,5298
+,8757,12419,2777,218,767,7226,7001
-,12585,5040,11315,5423,8162,1862,2741
+,5324,5016,3790,9130,2363,11019,11233
+,12199,1105,7787,11244,6204,12989,4035
-,9732,5847,10757,8595,5091,1518,6705
+,6621,1174,9922,12671,9530,5646,1239
+,7912,1481,7002,3326,8803,1854,12920
-,3833,12560,9928,7744,7954,11266,4428
+,9795,6775,11555,7375,11743,3261,6937
+,10900,8128,11345,4548,2213,8718,6156
-,10503,9045,1308,5707,11366,396,4773
+,12662,4649,1492,251,6607,6800,9344
+,10164,313,5319,5932,5632,6805,4071
-,6268,6415,3202,11827,8342,5735,2103
+,9081,11367,717,9739,5031,3260,3815
+,3162,6600,2499,7316,4474,3628,9734
-,9692,2942,7490,3654,5513,8300,10086
+,10949,9322,9903,4880,11907,11182,6123
+,12878,2150,4441,4567,12644,12984,889
-,12045,8030,11535,7789,171,4068,1413
+,5663,3603,4866,4767,2813,6060,993
+,8248,8824,4922,6896,9009,9403,8911
-,4091,1939,2430,2251,2651,5289,6743
+,6834,1062,3848,1625,3611,12337,11180
+,2808,6850,10929,7679,7613,7875,7672
-,3651,1863,8077,7028,9308,6208,9579
+,905,2049,5679,4903,3843,1899,44
+,11274,6722,10972,6747,12136,2555,3606
-,3372,10133,8295,6733,40,11987,5595
+,11943,2780,3871,119,209,2160,6675
+,1487,3279,2831,2837,404,3510,3753
-,6055,8846,3745,664,9978,8207,12391
+,12092,1056,1417,7753,3721,10302,12347
+,1396,7958,267,11732,4103,1463,1871
-,10050,5889,8573,5776,2632,716,9957
+,5310,7733,9607,7874,3986,3312,8374
+,3427,1101,1127,1447,6229,5038,1925
-,9409,9523,1855,7080,10484,4712,12719
+,11182,10019,5032,1919,9830,3703,3632
+,9810,9296,7177,4401,4819,4355,3498
-,1396,7958,267,11732,4103,1463,1871
+,10222,4334,5909,1988,1449,7064,1891
+,12211,3896,7243,3741,7995,32,4830
-,8797,3596,1437,520,7043,7108,2247
