OP,A1,A2,A3,A4,A5,A6,A7
-,10344,10491,6088,2561,4942,9982,5463
+,472,2144,227,6505,119,10971,7136
-,472,2144,227,6505,119,10971,7136
+,3956,3036,5210,489,7099,1009,8561
-,3956,3036,5210,489,7099,1009,8561
+,11316,4629,5522,1826,1370,10204,8613
-,11316,4629,5522,1826,1370,10204,8613
+,7715,9207,11460,8644,2876,5010,10866
-,7715,9207,11460,8644,2876,5010,10866
+,1166,9234,5098,4104,9868,5377,7813
-,1166,9234,5098,4104,9868,5377,7813
+,8382,3346,7373,4539,4097,628,6177
-,8382,3346,7373,4539,4097,628,6177
+,2177,287,12011,11212,5870,1059,10061
-,2177,287,12011,11212,5870,1059,10061
+,11283,9830,5714,875,8242,6106,6983
-,11283,9830,5714,875,8242,6106,6983
+,8044,9745,2627,881,10550,10314,172
-,8044,9745,2627,881,10550,10314,172
+,8292,7685,11403,3746,11043,5932,8564
-,8292,7685,11403,3746,11043,5932,8564
+,7356,1224,1182,6704,10865,301,12676
-,7356,1224,1182,6704,10865,301,12676
+,2398,3621,7058,8709,12052,9776,5408
-,2398,3621,7058,8709,12052,9776,5408
+,11158,9629,4145,9649,8281,12527,8669
-,11158,9629,4145,9649,8281,12527,8669
+,12979,6826,48,6225,2672,7705,1946
-,12979,6826,48,6225,2672,7705,1946
+,10533,4912,8489,5407,6635,1659,6003
-,10533,4912,8489,5407,6635,1659,6003
+,2662,1867,1030,1606,1771,11925,4157
-,2662,1867,1030,1606,1771,11925,4157
+,824,3346,10983,237,2718,11778,3495
-,824,3346,10983,237,2718,11778,3495
+,10198,8612,7530,8733,98,6675,2209
-,10198,8612,7530,8733,98,6675,2209
+,6800,1421,3506,1731,11949,8636,12603
-,6800,1421,3506,1731,11949,8636,12603
+,1867,854,4237,5379,5910,4026,942
-,1867,854,4237,5379,5910,4026,942
+,4466,12473,611,6804,2054,5428,10743
-,4466,12473,611,6804,2054,5428,10743
+,4260,9607,8843,4070,5707,774,6695
-,4260,9607,8843,4070,5707,774,6695
+,2375,6818,4939,5951,9718,2664,9865
-,2375,6818,4939,5951,9718,2664,9865
+,2512,4025,8585,6735,1742,3694,791
-,2512,4025,8585,6735,1742,3694,791
+,1338,6941,9244,7016,3733,2848,1134
-,1338,6941,9244,7016,3733,2848,1134
+,6896,8367,2374,3139,11351,12524,6230
-,6896,8367,2374,3139,11351,12524,6230
+,6528,4718,3430,4800,10733,12522,10237
-,6528,4718,3430,4800,10733,12522,10237
+,526,7286,4664,6205,7066,5577,4562
-,526,7286,4664,6205,7066,5577,4562
+,4883,3880,402,5033,8466,12609,11490
-,4883,3880,402,5033,8466,12609,11490
+,7164,491,972,11525,12472,5716,8899
-,7164,491,972,11525,12472,5716,8899
+,11048,8671,10446,533,346,755,4498
-,11048,8671,10446,533,346,755,4498
+,3403,5771,3324,10422,2111,1446,12305
-,3403,5771,3324,10422,2111,1446,12305
+,10227,5047,12801,9377,3864,7694,9491
-,10227,5047,12801,9377,3864,7694,9491
+,4989,5516,4101,7770,10355,318,12672
-,4989,5516,4101,7770,10355,318,12672
+,11641,6467,9481,4456,3942,5613,10023
-,11641,6467,9481,4456,3942,5613,10023
+,982,4092,7740,8769,4516,8255,4302
-,982,4092,7740,8769,4516,8255,4302
+,10740,963,388,8042,7905,11240,3732
-,10740,963,388,8042,7905,11240,3732
+,3027,5273,2319,3992,10819,8764,4858
-,3027,5273,2319,3992,10819,8764,4858
+,10417,3955,2642,5441,9128,11818,2774
-,10417,3955,2642,5441,9128,11818,2774
+,8972,12351,136,5083,10718,10647,6249
-,8972,12351,136,5083,10718,10647,6249
+,6551,8851,12793,8823,10381,8146,7976
-,6551,8851,12793,8823,10381,8146,7976
+,488,12280,163,12002,9251,4411,12259
-,488,12280,163,12002,9251,4411,12259
+,6494,11827,9310,4287,1618,12575,12821
-,6494,11827,9310,4287,1618,12575,12821
+,1262,3974,3706,8945,7244,1343,9407
-,1262,3974,3706,8945,7244,1343,9407
+,7760,118,4159,7749,157,4041,5824
-,7760,118,4159,7749,157,4041,5824
+,9330,4094,1114,6673,3519,3204,9032
-,9330,4094,1114,6673,3519,3204,9032
+,2582,10863,433,9703,11792,5564,9948
-,2582,10863,433,9703,11792,5564,9948
+,11647,6838,3134,3858,12434,983,7591
-,11647,6838,3134,3858,12434,983,7591
+,10124,2591,4504,1283,4787,3534,5200
-,10124,2591,4504,1283,4787,3534,5200
+,11020,1769,9338,885,4199,10945,2262
-,11020,1769,9338,885,4199,10945,2262
+,3083,11144,8554,7268,6504,12662,10962
-,3083,11144,8554,7268,6504,12662,10962
+,1088,12456,7195,9353,273,12739,10580
-,1088,12456,7195,9353,273,12739,10580
+,8818,3472,9134,2899,5424,2319,9390
-,8818,3472,9134,2899,5424,2319,9390
+,3282,12040,11581,620,11093,5252,6729
-,3282,12040,11581,620,11093,5252,6729
+,8308,4777,4770,1847,10738,12263,10615
-,8308,4777,4770,1847,10738,12263,10615
+,0,6494,2224,7646,10611,12499,339
-,0,6494,2224,7646,10611,12499,339
+,6746,9893,10815,11743,12192,4282,2543
-,6746,9893,10815,11743,12192,4282,2543
+,11015,2570,5170,958,5798,4406,7119
-,11015,2570,5170,958,5798,4406,7119
+,4771,2470,11719,5832,4248,3675,2586
-,4771,2470,11719,5832,4248,3675,2586
+,1243,2764,12785,3926,3416,7352,3108
-,1243,2764,12785,3926,3416,7352,3108
+,12927,7435,8743,3517,2167,3124,6944
-,12927,7435,8743,3517,2167,3124,6944
+,5797,2202,7493,2136,9441,3045,9304
-,5797,2202,7493,2136,9441,3045,9304
+,12569,5776,390,3594,8982,8746,1192
-,12569,5776,390,3594,8982,8746,1192
+,12779,8222,10048,3828,7937,10652,5907
-,12779,8222,10048,3828,7937,10652,5907
+,3784,12070,3720,3157,7009,5964,12659
-,3784,12070,3720,3157,7009,5964,12659
+,8136,6433,4289,6025,5308,6548,1101
-,8136,6433,4289,6025,5308,6548,1101
+,12277,3244,5436,7947,4572,6375,4570
-,12277,3244,5436,7947,4572,6375,4570
+,4927,10814,2782,10996,1585,1292,8957
-,4927,10814,2782,10996,1585,1292,8957
+,6763,11254,4104,108,7164,5373,3113
-,6763,11254,4104,108,7164,5373,3113
+,8636,9038,3494,2485,6946,6183,2431
-,8636,9038,3494,2485,6946,6183,2431
+,8152,10257,3209,9990,2142,216,553
-,8152,10257,3209,9990,2142,216,553
+,6039,4906,11921,8790,5481,7126,11366
-,6039,4906,11921,8790,5481,7126,11366
+,4550,1229,5292,10534,12189,1352,11120
-,4550,1229,5292,10534,12189,1352,11120
+,12854,9386,2307,7159,5205,747,6813
-,12854,9386,2307,7159,5205,747,6813
+,1606,10559,4550,9073,9776,1758,7366
-,1606,10559,4550,9073,9776,1758,7366
+,10065,2452,3378,12702,290,8700,9622
-,10065,2452,3378,12702,290,8700,9622
+,12644,14,6463,12260,10383,5136,10915
-,12644,14,6463,12260,10383,5136,10915
+,5203,12259,9668,8750,3358,8544,1435
-,5203,12259,9668,8750,3358,8544,1435
+,1502,6747,6553,12802,5412,8193,8799
-,1502,6747,6553,12802,5412,8193,8799
+,4630,93,12221,1566,5118,12230,1097
-,4630,93,12221,1566,5118,12230,1097
+,11582,5814,11278,12281,4357,7395,11121
-,11582,5814,11278,12281,4357,7395,11121
+,10730,7344,8305,2005,6828,10500,911
-,10730,7344,8305,2005,6828,10500,911
+,4824,10674,1832,12270,5011,11194,5806
-,4824,10674,1832,12270,5011,11194,5806
+,3373,9111,10196,3555,8152,7448,10887
-,3373,9111,10196,3555,8152,7448,10887
+,10650,9266,6049,3171,5957,4089,9473
-,10650,9266,6049,3171,5957,4089,9473
+,4714,6895,10936,2778,8918,10139,12508
-,4714,6895,10936,2778,8918,10139,12508
+,1990,407,6274,7870,2677,2456,10748
-,1990,407,6274,7870,2677,2456,10748
+,9404,4931,11003,11949,10579,7960,7085
-,9404,4931,11003,11949,10579,7960,7085
+,11685,190,8730,11118,1655,452,6329
-,11685,190,8730,11118,1655,452,6329
+,11848,4630,7814,8922,6981,6326,9534
-,11848,4630,7814,8922,6981,6326,9534
+,1104,5079,8836,4657,4007,11469,6525
-,1104,5079,8836,4657,4007,11469,6525
+,7398,1313,2019,11889,6468,5602,10421
-,7398,1313,2019,11889,6468,5602,10421
+,2059,7691,1798,11828,2251,9282,7931
-,2059,7691,1798,11828,2251,9282,7931
+,1209,4103,6325,11412,3899,3967,3707
-,1209,4103,6325,11412,3899,3967,3707
+,3081,7559,4891,10585,12375,5715,8415
-,3081,7559,4891,10585,12375,5715,8415
+,8518,12642,9623,12129,4681,699,5841
-,8518,12642,9623,12129,4681,699,5841
+,8323,7434,11866,3329,8503,8494,11685
-,8323,7434,11866,3329,8503,8494,11685
+,9738,7338,1044,9458,12056,2639,10480
-,9738,7338,1044,9458,12056,2639,10480
+,8118,710,4930,5757,2205,11536,4159
-,8118,710,4930,5757,2205,11536,4159
+,8275,3459,8198,12348,2248,6147,10972
-,8275,3459,8198,12348,2248,6147,10972
+,4567,9383,2389,1199,8388,8127,12919
-,4567,9383,2389,1199,8388,8127,12919
+,7952,9561,3023,9072,12962,6264,1054
-,7952,9561,3023,9072,12962,6264,1054
+,10551,5963,4408,4426,8680,4358,9034
-,10551,5963,4408,4426,8680,4358,9034
+,3467,4170,3813,2077,4862,11697,7998
-,3467,4170,3813,2077,4862,11697,7998
+,2648,11513,1062,4829,9530,212,4099
-,2648,11513,1062,4829,9530,212,4099
+,6680,12986,6093,4197,9420,9129,531
-,6680,12986,6093,4197,9420,9129,531
+,11440,12656,8519,1953,3876,6047,917
-,11440,12656,8519,1953,3876,6047,917
+,12474,1187,10279,9239,821,12024,3313
-,12474,1187,10279,9239,821,12024,3313
+,4861,4731,567,9167,3717,4148,12712
-,4861,4731,567,9167,3717,4148,12712
+,9444,11181,11132,6171,1153,11466,4819
-,9444,11181,11132,6171,1153,11466,4819
+,2719,1580,2308,11552,8436,5327,863
-,2719,1580,2308,11552,8436,5327,863
+,10401,5594,5829,628,6601,9421,3282
-,10401,5594,5829,628,6601,9421,3282
+,7467,12005,5691,3170,6211,5486,45
-,7467,12005,5691,3170,6211,5486,45
+,246,2994,9654,11386,6675,6192,5313
-,246,2994,9654,11386,6675,6192,5313
+,7980,8756,126,6604,3280,9879,9184
-,7980,8756,126,6604,3280,9879,9184
+,8088,10146,6745,5086,1724,9365,8297
-,8088,10146,6745,5086,1724,9365,8297
+,7581,3449,3119,11149,713,1788,6777
-,7581,3449,3119,11149,713,1788,6777
+,5154,185,2912,5557,9400,217,12056
-,5154,185,2912,5557,9400,217,12056
+,12364,2938,794,7135,5873,12418,906
-,12364,2938,794,7135,5873,12418,906
+,1180,7381,8659,7755,9867,4058,9522
-,1180,7381,8659,7755,9867,4058,9522
+,10720,2024,10011,4847,4333,5760,1516
-,10720,2024,10011,4847,4333,5760,1516
+,9437,9199,12084,9653,892,2519,5994
-,9437,9199,12084,9653,892,2519,5994
+,704,8864,9528,11038,5954,1359,4102
-,704,8864,9528,11038,5954,1359,4102
+,8873,372,9579,815,2827,11193,9201
-,8873,372,9579,815,2827,11193,9201
+,10266,8973,6962,10825,3559,11701,7287
-,10266,8973,6962,10825,3559,11701,7287
+,6288,1647,10878,201,11379,3232,6307
-,6288,1647,10878,201,11379,3232,6307
+,3994,11887,10484,3936,6303,8012,5789
-,3994,11887,10484,3936,6303,8012,5789
+,3347,8235,6707,4995,5769,9628,3314
-,3347,8235,6707,4995,5769,9628,3314
+,4907,5774,3190,5641,11470,2258,9790
-,4907,5774,3190,5641,11470,2258,9790
+,5133,5032,3325,2192,5089,4442,561
-,5133,5032,3325,2192,5089,4442,561
+,8080,12197,11815,12266,6151,9731,3411
-,8080,12197,11815,12266,6151,9731,3411
+,7704,2016,1050,6514,4569,4019,3277
-,7704,2016,1050,6514,4569,4019,3277
+,9478,8882,7641,2057,11089,10040,6718
-,9478,8882,7641,2057,11089,10040,6718
+,1377,3157,10948,9093,2255,9844,616
-,1377,3157,10948,9093,2255,9844,616
+,2588,3252,2519,2930,9331,746,9124
-,2588,3252,2519,2930,9331,746,9124
+,12673,8126,3630,11220,10393,3008,7247
-,12673,8126,3630,11220,10393,3008,7247
+,695,9583,5793,8742,4167,9890,4624
-,695,9583,5793,8742,4167,9890,4624
+,7854,10278,9839,9323,11073,8208,11327
-,7854,10278,9839,9323,11073,8208,11327
+,9015,8592,12153,2224,10623,12936,950
-,9015,8592,12153,2224,10623,12936,950
+,6960,7794,12647,4507,2476,7171,9046
-,6960,7794,12647,4507,2476,7171,9046
+,6316,4914,6699,10554,5381,1451,9202
-,6316,4914,6699,10554,5381,1451,9202
+,8052,9409,10689,7359,78,1392,7314
-,8052,9409,10689,7359,78,1392,7314
+,8551,258,12100,11269,9549,3209,8110
-,8551,258,12100,11269,9549,3209,8110
+,10907,9822,9754,2559,12489,6108,9054
-,10907,9822,9754,2559,12489,6108,9054
+,6980,9389,12600,9020,975,3200,490
-,6980,9389,12600,9020,975,3200,490
+,10541,9792,5398,12228,11920,7676,1225
-,10541,9792,5398,12228,11920,7676,1225
+,6144,5999,6435,3600,12328,8205,12136
-,6144,5999,6435,3600,12328,8205,12136
+,3246,7357,7871,3116,8697,12098,8743
-,3246,7357,7871,3116,8697,12098,8743
+,5513,4504,9840,12485,806,4331,9006
-,5513,4504,9840,12485,806,4331,9006
+,4799,9972,5445,1358,9823,645,10436
-,4799,9972,5445,1358,9823,645,10436
+,2445,7198,7831,9353,9273,6903,4703
-,2445,7198,7831,9353,9273,6903,4703
+,7927,12992,7532,7369,1935,4119,7214
-,7927,12992,7532,7369,1935,4119,7214
+,2943,2107,10224,6880,8306,3024,1235
-,2943,2107,10224,6880,8306,3024,1235
+,11897,10468,7443,4287,7349,11762,3477
-,11897,10468,7443,4287,7349,11762,3477
+,5194,1563,6363,1935,10204,3837,7713
-,5194,1563,6363,1935,10204,3837,7713
+,6703,7038,6,7446,2685,1812,2789
-,6703,7038,6,7446,2685,1812,2789
+,12349,1240,11141,5247,484,3545,7092
-,12349,1240,11141,5247,484,3545,7092
+,2674,1367,6467,2934,529,5627,5452
-,2674,1367,6467,2934,529,5627,5452
+,2074,9362,7909,5829,8061,7183,10253
-,2074,9362,7909,5829,8061,7183,10253
+,9491,7553,7817,3134,8703,7076,574
-,9491,7553,7817,3134,8703,7076,574
+,2786,10159,1638,11314,11892,6942,5400
-,2786,10159,1638,11314,11892,6942,5400
+,7954,6603,10868,1072,3809,696,4986
-,7954,6603,10868,1072,3809,696,4986
+,8554,2089,6219,1158,113,3353,3554
-,8554,2089,6219,1158,113,3353,3554
+,5463,5356,6743,7062,11943,6471,4791
-,5463,5356,6743,7062,11943,6471,4791
+,4660,3608,8373,1538,2144,2970,9934
-,4660,3608,8373,1538,2144,2970,9934
+,7412,3081,4418,10676,12402,8705,4794
-,7412,3081,4418,10676,12402,8705,4794
+,222,121,3282,10328,8983,5293,12373
-,222,121,3282,10328,8983,5293,12373
+,584,8896,8983,8965,10117,4129,11805
-,584,8896,8983,8965,10117,4129,11805
+,6096,10255,2235,4906,7868,7550,2238
-,6096,10255,2235,4906,7868,7550,2238
+,10117,6002,5661,7174,457,3315,10029
-,10117,6002,5661,7174,457,3315,10029
+,10425,3285,12731,7927,2761,3708,4125
-,10425,3285,12731,7927,2761,3708,4125
+,3643,11032,3296,7191,7229,9540,9954
-,3643,11032,3296,7191,7229,9540,9954
+,7574,4801,8355,7505,11961,12240,187
-,7574,4801,8355,7505,11961,12240,187
+,2208,3463,7749,8498,6373,8030,8940
-,2208,3463,7749,8498,6373,8030,8940
+,5386,12144,10194,10815,565,684,12999
-,5386,12144,10194,10815,565,684,12999
+,6721,4316,4760,1529,1984,10904,9857
-,6721,4316,4760,1529,1984,10904,9857
+,3746,5950,1397,11207,7644,9703,2014
-,3746,5950,1397,11207,7644,9703,2014
+,1500,12100,8956,11824,1431,10372,8138
-,1500,12100,8956,11824,1431,10372,8138
+,161,9544,3420,8774,7518,10026,260
-,161,9544,3420,8774,7518,10026,260
+,7556,143,3575,5350,2966,2250,8651
-,7556,143,3575,5350,2966,2250,8651
+,10219,3649,11301,5967,8242,9326,11630
-,10219,3649,11301,5967,8242,9326,11630
+,12624,5476,8914,8363,12487,2624,8166
-,12624,5476,8914,8363,12487,2624,8166
+,2034,4597,7512,1981,11172,5053,6219
-,2034,4597,7512,1981,11172,5053,6219
+,12439,2413,3744,7042,10915,2040,6747
-,12439,2413,3744,7042,10915,2040,6747
+,12747,8467,12292,231,6887,3197,7957
-,12747,8467,12292,231,6887,3197,7957
+,12495,2055,12023,8446,2748,639,10946
-,12495,2055,12023,8446,2748,639,10946
+,1051,3684,10230,2731,3828,8384,1346
-,1051,3684,10230,2731,3828,8384,1346
+,7058,3040,2106,6248,9040,4268,4432
-,7058,3040,2106,6248,9040,4268,4432
+,2274,2519,539,12505,6014,3536,3020
-,2274,2519,539,12505,6014,3536,3020
+,900,7423,10153,2752,3223,2672,7839
-,900,7423,10153,2752,3223,2672,7839
+,3480,3982,6071,3623,8452,6893,12470
-,3480,3982,6071,3623,8452,6893,12470
+,9903,5710,12972,3930,1365,2524,9438
-,9903,5710,12972,3930,1365,2524,9438
+,1050,3483,5820,12910,8820,2803,10636
-,1050,3483,5820,12910,8820,2803,10636
+,1419,11950,4586,7800,621,6250,1751
-,1419,11950,4586,7800,621,6250,1751
+,3270,10789,1935,7651,12421,3532,4668
-,3270,10789,1935,7651,12421,3532,4668
+,3896,4974,2496,7587,977,9582,7978
-,3896,4974,2496,7587,977,9582,7978
+,7111,2964,4015,2588,6429,2333,4282
-,7111,2964,4015,2588,6429,2333,4282
+,2315,7517,7991,8625,5583,11118,8842
-,2315,7517,7991,8625,5583,11118,8842
+,4673,10762,2665,10001,12156,540,6033
-,4673,10762,2665,10001,12156,540,6033
+,4664,11847,3727,3861,8505,5474,5301
-,4664,11847,3727,3861,8505,5474,5301
+,10052,7516,6063,5033,156,5888,5649
-,10052,7516,6063,5033,156,5888,5649
+,7318,3754,6466,9246,10730,378,8334
-,7318,3754,6466,9246,10730,378,8334
+,4826,10619,7578,7818,4605,3878,2281
-,4826,10619,7578,7818,4605,3878,2281
+,8662,11045,5752,3233,7688,916,2732
-,8662,11045,5752,3233,7688,916,2732
+,9112,9893,12281,7674,1075,5014,835
-,9112,9893,12281,7674,1075,5014,835
+,6967,5828,7031,8596,9749,12736,1629
-,6967,5828,7031,8596,9749,12736,1629
+,950,10713,3943,5325,6478,716,2159
-,950,10713,3943,5325,6478,716,2159
+,10087,12571,11916,10588,409,984,11703
-,10087,12571,11916,10588,409,984,11703
+,5312,1655,6940,11327,8729,11831,7811
-,5312,1655,6940,11327,8729,11831,7811
+,8206,2549,3816,5166,6581,6007,9946
-,8206,2549,3816,5166,6581,6007,9946
+,9067,7075,3310,12590,6524,10741,3360
-,9067,7075,3310,12590,6524,10741,3360
+,4012,11432,2221,2646,11117,10631,9899
-,4012,11432,2221,2646,11117,10631,9899
+,7057,1872,7665,10306,3563,7364,12388
-,7057,1872,7665,10306,3563,7364,12388
+,5366,2533,8805,563,661,10988,5873
-,5366,2533,8805,563,661,10988,5873
+,4037,12189,6523,855,3079,353,10259
-,4037,12189,6523,855,3079,353,10259
+,5467,5897,43,1619,2918,4425,2645
-,5467,5897,43,1619,2918,4425,2645
+,397,1932,11984,8770,12032,5835,12278
-,397,1932,11984,8770,12032,5835,12278
+,10282,5854,1085,2879,9400,601,12816
-,10282,5854,1085,2879,9400,601,12816
+,12911,6359,1989,1771,10723,10246,2831
-,12911,6359,1989,1771,10723,10246,2831
+,1140,8578,9549,6305,107,8990,11641
-,1140,8578,9549,6305,107,8990,11641
+,7884,11734,6579,7551,7305,600,1659
-,7884,11734,6579,7551,7305,600,1659
+,7029,2362,1038,1224,10470,11903,1975
-,7029,2362,1038,1224,10470,11903,1975
+,11192,9782,3428,12896,3993,10470,7773
-,11192,9782,3428,12896,3993,10470,7773
+,10161,7997,2952,7187,10564,3486,1861
-,10161,7997,2952,7187,10564,3486,1861
+,4846,6549,9103,7946,1518,4763,7931
-,4846,6549,9103,7946,1518,4763,7931
+,7744,3989,8601,6931,7623,8724,12897
-,7744,3989,8601,6931,7623,8724,12897
+,7845,6252,8109,3297,11956,11802,4892
-,7845,6252,8109,3297,11956,11802,4892
+,2810,9023,3915,9480,557,3506,9101
-,2810,9023,3915,9480,557,3506,9101
+,2435,7783,4932,4317,9639,11905,767
-,2435,7783,4932,4317,9639,11905,767
+,12,4580,7996,12302,8270,1957,3203
-,12,4580,7996,12302,8270,1957,3203
+,10094,5541,8540,1497,6988,6609,7495
-,10094,5541,8540,1497,6988,6609,7495
+,10939,8336,1240,865,11350,351,8083
-,10939,8336,1240,865,11350,351,8083
+,7922,10931,8050,2164,11230,391,9750
-,7922,10931,8050,2164,11230,391,9750
+,3889,7233,10269,11945,10047,3904,7406
-,3889,7233,10269,11945,10047,3904,7406
+,9770,4034,2856,1635,6061,6938,7426
-,9770,4034,2856,1635,6061,6938,7426
+,7036,805,891,6871,10187,1669,2005
-,7036,805,891,6871,10187,1669,2005
+,9991,10483,3997,11068,6709,6949,6269
-,9991,10483,3997,11068,6709,6949,6269
+,293,3062,5185,12417,5193,2820,1540
-,293,3062,5185,12417,5193,2820,1540
+,11779,7361,6970,3017,3114,10516,152
-,11779,7361,6970,3017,3114,10516,152
+,6642,7181,6657,6667,673,8485,10234
-,6642,7181,6657,6667,673,8485,10234
+,3102,12178,3838,2320,8748,972,4726
-,3102,12178,3838,2320,8748,972,4726
+,7046,0,8973,12107,10382,5710,11085
-,7046,0,8973,12107,10382,5710,11085
+,1692,11062,3505,7613,9578,4469,10720
-,1692,11062,3505,7613,9578,4469,10720
